YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,6,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,6,0
1913,8,0
1914,13,0
1915,14,0
1916,9,0
1917,9,0
1918,10,0
1919,13,0
1920,18,0
1921,20,0
1922,14,0
1923,11,0
1924,12,0
1925,18,1
1926,15,1
1927,13,1
1928,16,1
1929,18,1
1930,13,1
1931,15,2
1932,22,3
1933,20,4
1934,15,3
1935,24,6
1936,19,5
1937,25,8
1938,26,9
1939,30,11
1940,37,15
1941,31,13
1942,39,18
1943,41,20
1944,40,20
1945,39,21
1946,46,26
1947,32,19
1948,32,20
1949,28,18
1950,39,26
1951,48,33
1952,43,30
1953,44,31
1954,65,47
1955,69,51
1956,60,46
1957,63,49
1958,71,56
1959,72,58
1960,74,61
1961,84,70
1962,97,81
1963,82,69
1964,89,76
1965,75,64
1966,79,69
1967,83,73
1968,83,73
1969,130,116
1970,96,86
1971,114,103
1972,138,125
1973,136,124
1974,137,126
1975,152,140
1976,156,145
1977,153,143
1978,147,138
1979,183,172
1980,188,178
1981,276,262
1982,230,219
1983,222,212
1984,200,191
1985,232,222
1986,213,205
1987,202,194
1988,210,203
1989,195,189
1990,213,207
1991,178,173
1992,142,138
1993,167,163
1994,152,148
1995,157,153
1996,145,142
1997,146,143
1998,138,135
1999,171,168
2000,151,149
2001,178,175
2002,173,171
2003,205,202
2004,233,230
2005,286,283
2006,273,270
2007,362,358
2008,408,404
2009,464,460
2010,468,464
2011,626,621
2012,804,798
2013,877,871
2014,958,952
2015,1141,1134
2016,1388,1380
2017,1610,1601
2018,1805,1795
2019,1860,1850
2020,1998,1988
