YOB,Born,Alive
1900,0,0
1901,0,0
1902,5,0
1903,0,0
1904,0,0
1905,0,0
1906,7,0
1907,8,0
1908,5,0
1909,7,0
1910,7,0
1911,11,0
1912,11,0
1913,27,0
1914,12,0
1915,16,0
1916,25,0
1917,22,0
1918,39,1
1919,34,1
1920,40,1
1921,32,1
1922,22,1
1923,45,4
1924,34,4
1925,42,5
1926,36,5
1927,42,7
1928,47,9
1929,43,9
1930,43,10
1931,42,11
1932,37,11
1933,25,8
1934,30,11
1935,35,14
1936,27,11
1937,35,16
1938,26,13
1939,35,18
1940,29,16
1941,33,19
1942,33,19
1943,41,25
1944,41,26
1945,46,30
1946,53,36
1947,54,38
1948,52,37
1949,65,48
1950,50,38
1951,50,38
1952,61,48
1953,51,40
1954,70,56
1955,55,45
1956,53,43
1957,51,42
1958,76,64
1959,83,71
1960,67,58
1961,69,60
1962,75,65
1963,77,68
1964,81,72
1965,83,74
1966,70,63
1967,85,77
1968,73,66
1969,93,85
1970,93,86
1971,105,97
1972,106,98
1973,113,105
1974,115,108
1975,111,104
1976,131,124
1977,93,88
1978,90,86
1979,115,110
1980,144,138
1981,145,139
1982,115,111
1983,126,121
1984,102,98
1985,109,105
1986,157,152
1987,123,119
1988,164,159
1989,180,175
1990,177,173
1991,193,189
1992,162,159
1993,202,198
1994,236,232
1995,240,236
1996,212,209
1997,192,189
1998,193,190
1999,169,167
2000,173,171
2001,189,187
2002,195,193
2003,164,162
2004,197,195
2005,182,180
2006,188,186
2007,202,200
2008,170,169
2009,167,166
2010,140,139
2011,137,136
2012,118,117
2013,131,130
