YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,11,10
1969,13,12
1970,10,9
1971,5,5
1972,11,10
1973,12,11
1974,15,14
1975,16,15
1976,8,7
1977,10,9
1978,14,13
1979,7,7
1980,7,7
1981,6,6
1982,7,7
1983,0,0
1984,6,6
1985,0,0
1986,0,0
1987,5,5
1988,0,0
1989,9,9
1990,0,0
1991,9,9
1992,11,11
1993,8,8
1994,11,11
1995,14,14
1996,11,11
1997,13,13
1998,17,17
1999,11,11
2000,23,23
2001,12,12
2002,13,13
2003,16,16
2004,17,17
2005,16,16
2006,20,20
2007,14,14
2008,17,17
2009,11,11
2010,15,15
2011,11,11
2012,21,21
2013,20,20
2014,17,17
2015,32,32
2016,23,23
2017,29,29
2018,29,29
2019,35,35
2020,42,42
