YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,11,0
1915,12,0
1916,16,0
1917,9,0
1918,15,0
1919,11,0
1920,9,0
1921,9,0
1922,14,1
1923,16,1
1924,12,1
1925,10,1
1926,17,2
1927,17,2
1928,9,1
1929,13,2
1930,12,2
1931,12,2
1932,9,2
1933,12,3
1934,6,2
1935,9,3
1936,12,4
1937,7,3
1938,7,3
1939,0,0
1940,10,5
1941,10,5
1942,10,5
1943,17,9
1944,18,10
1945,10,6
1946,9,6
1947,31,20
1948,35,23
1949,42,29
1950,54,39
1951,50,37
1952,76,56
1953,114,86
1954,161,124
1955,103,80
1956,168,133
1957,130,105
1958,133,109
1959,188,156
1960,182,153
1961,193,164
1962,195,167
1963,260,224
1964,304,264
1965,398,349
1966,399,353
1967,483,430
1968,760,682
1969,1107,1001
1970,2549,2322
1971,3263,2987
1972,4633,4260
1973,5072,4685
1974,5860,5437
1975,7090,6607
1976,7792,7294
1977,8283,7788
1978,9248,8734
1979,11310,10728
1980,14167,13497
1981,20217,19301
1982,20220,19344
1983,23517,22546
1984,25671,24662
1985,29301,28208
1986,27253,26291
1987,24817,23990
1988,23728,22985
1989,23304,22621
1990,22159,21554
1991,26016,25344
1992,29620,28898
1993,28732,28074
1994,29487,28856
1995,26904,26368
1996,25845,25368
1997,25193,24765
1998,23829,23459
1999,21599,21296
2000,20336,20080
2001,17890,17675
2002,16274,16087
2003,15239,15072
2004,14129,13981
2005,12943,12814
2006,12675,12556
2007,12135,12027
2008,11469,11373
2009,9841,9764
2010,8537,8475
2011,7809,7759
2012,7026,6988
2013,6220,6192
2014,5837,5816
2015,5106,5092
2016,4086,4079
2017,3474,3471
