YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,6,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,11,0
1913,7,0
1914,10,0
1915,20,0
1916,18,0
1917,9,0
1918,14,0
1919,13,0
1920,21,0
1921,20,0
1922,21,0
1923,30,1
1924,22,1
1925,21,1
1926,19,1
1927,20,1
1928,26,2
1929,27,2
1930,20,2
1931,20,2
1932,22,3
1933,18,3
1934,21,4
1935,24,6
1936,14,4
1937,9,3
1938,21,7
1939,11,4
1940,17,7
1941,21,9
1942,19,9
1943,19,9
1944,14,7
1945,24,13
1946,22,12
1947,16,9
1948,21,13
1949,11,7
1950,18,12
1951,22,15
1952,18,13
1953,21,15
1954,22,16
1955,26,19
1956,19,14
1957,17,13
1958,21,17
1959,23,19
1960,27,22
1961,23,19
1962,20,17
1963,13,11
1964,25,21
1965,23,20
1966,19,16
1967,14,12
1968,31,27
1969,18,16
1970,19,17
1971,23,21
1972,20,18
1973,27,25
1974,27,25
1975,18,17
1976,19,18
1977,24,22
1978,22,21
1979,19,18
1980,21,20
1981,26,25
1982,16,15
1983,16,15
1984,19,18
1985,18,17
1986,26,25
1987,22,21
1988,22,21
1989,16,15
1990,27,26
1991,34,33
1992,35,34
1993,18,18
1994,32,31
1995,24,23
1996,17,17
1997,23,23
1998,17,17
1999,20,20
2000,35,34
2001,36,35
2002,26,26
2003,25,25
2004,32,32
2005,34,34
2006,25,25
2007,32,32
2008,36,36
2009,24,24
2010,28,28
2011,15,15
2012,22,22
2013,19,19
2014,24,24
2015,24,24
2016,21,21
2017,23,23
2018,20,20
2019,34,34
2020,31,31
