YOB,Born,Alive
1900,15,0
1901,12,0
1902,10,0
1903,15,0
1904,15,0
1905,19,0
1906,14,0
1907,24,0
1908,30,0
1909,31,0
1910,28,0
1911,34,0
1912,66,0
1913,83,0
1914,97,0
1915,154,1
1916,171,1
1917,189,1
1918,200,1
1919,168,1
1920,173,1
1921,174,4
1922,233,9
1923,201,10
1924,226,15
1925,184,15
1926,200,19
1927,193,22
1928,160,20
1929,159,22
1930,177,28
1931,132,25
1932,156,34
1933,125,31
1934,134,38
1935,136,43
1936,127,44
1937,119,45
1938,97,40
1939,99,44
1940,96,46
1941,105,52
1942,88,46
1943,101,55
1944,74,42
1945,88,52
1946,87,54
1947,79,51
1948,78,52
1949,82,57
1950,81,58
1951,86,63
1952,75,56
1953,62,47
1954,63,48
1955,67,52
1956,57,45
1957,64,52
1958,55,45
1959,51,42
1960,56,47
1961,64,54
1962,49,42
1963,62,54
1964,66,57
1965,54,47
1966,62,55
1967,52,46
1968,34,31
1969,37,33
1970,40,36
1971,31,28
1972,28,26
1973,22,20
1974,20,19
1975,18,17
1976,29,27
1977,21,20
1978,18,17
1979,24,23
1980,25,24
1981,28,27
1982,20,19
1983,21,20
1984,17,16
1985,19,18
1986,18,17
1987,13,13
1988,12,12
1989,16,16
1990,10,10
1991,17,17
1992,0,0
1993,11,11
1994,9,9
1995,0,0
1996,10,10
1997,11,11
1998,0,0
1999,12,12
2000,5,5
2001,11,11
2002,8,8
2003,7,7
2004,9,9
2005,0,0
2006,5,5
2007,5,5
2008,6,6
2009,5,5
2010,0,0
2011,7,7
2012,5,5
2013,7,7
2014,7,7
2015,8,8
2016,6,6
2017,6,6
