YOB,Born,Alive
1900,107,0
1901,101,0
1902,112,0
1903,110,0
1904,115,0
1905,121,0
1906,105,0
1907,126,0
1908,143,0
1909,157,0
1910,178,0
1911,206,0
1912,404,0
1913,497,0
1914,616,0
1915,820,1
1916,771,1
1917,793,1
1918,934,2
1919,885,2
1920,910,2
1921,932,10
1922,887,17
1923,900,26
1924,847,32
1925,892,41
1926,884,48
1927,920,59
1928,780,56
1929,781,63
1930,755,68
1931,698,84
1932,738,112
1933,733,133
1934,665,141
1935,649,158
1936,639,175
1937,669,204
1938,649,218
1939,662,242
1940,641,254
1941,675,286
1942,793,358
1943,857,410
1944,765,387
1945,722,385
1946,802,449
1947,965,567
1948,944,580
1949,982,630
1950,1024,685
1951,954,652
1952,943,659
1953,960,685
1954,1039,758
1955,980,729
1956,1000,759
1957,1054,816
1958,998,788
1959,927,746
1960,870,713
1961,870,720
1962,855,715
1963,789,666
1964,836,712
1965,686,590
1966,695,603
1967,665,582
1968,683,604
1969,667,595
1970,672,605
1971,643,582
1972,623,566
1973,556,508
1974,751,690
1975,1215,1122
1976,870,807
1977,829,773
1978,869,815
1979,782,737
1980,805,762
1981,787,747
1982,719,684
1983,609,581
1984,644,616
1985,643,616
1986,609,585
1987,552,531
1988,518,500
1989,506,490
1990,440,427
1991,411,399
1992,355,345
1993,311,303
1994,267,261
1995,249,243
1996,232,227
1997,221,217
1998,240,236
1999,215,211
2000,232,228
2001,201,198
2002,163,161
2003,173,171
2004,159,157
2005,156,154
2006,146,144
2007,154,152
2008,131,130
2009,132,131
2010,107,106
2011,112,111
2012,130,129
2013,110,109
2014,119,118
2015,111,110
2016,90,89
2017,110,109
2018,102,101
2019,103,102
2020,111,110
