YOB,Born,Alive
1900,6,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,5,0
1906,5,0
1907,8,0
1908,7,0
1909,9,0
1910,6,0
1911,8,0
1912,14,0
1913,10,0
1914,26,0
1915,16,0
1916,18,0
1917,21,0
1918,26,0
1919,18,0
1920,26,0
1921,18,0
1922,25,0
1923,23,1
1924,18,1
1925,19,1
1926,19,1
1927,14,1
1928,18,1
1929,18,1
1930,11,1
1931,10,1
1932,12,2
1933,23,4
1934,20,4
1935,13,3
1936,13,4
1937,16,5
1938,15,5
1939,15,5
1940,11,4
1941,10,4
1942,13,6
1943,21,10
1944,9,5
1945,11,6
1946,16,9
1947,14,8
1948,9,6
1949,7,4
1950,11,7
1951,12,8
1952,10,7
1953,12,9
1954,8,6
1955,7,5
1956,7,5
1957,0,0
1958,7,6
1959,7,6
1960,6,5
1961,6,5
1962,0,0
1963,8,7
1964,6,5
1965,0,0
1966,0,0
1967,5,4
1968,0,0
1969,5,4
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
2020,0,0
