YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,6,5
1961,5,4
1962,0,0
1963,0,0
1964,7,6
1965,0,0
1966,0,0
1967,8,7
1968,18,16
1969,29,27
1970,18,17
1971,22,20
1972,53,49
1973,47,44
1974,54,51
1975,54,51
1976,57,54
1977,75,71
1978,62,59
1979,66,63
1980,108,103
1981,119,114
1982,163,157
1983,145,140
1984,167,161
1985,181,175
1986,235,228
1987,192,186
1988,243,236
1989,391,381
1990,550,537
1991,669,654
1992,1046,1023
1993,1787,1751
1994,2542,2494
1995,2846,2796
1996,2845,2799
1997,2331,2297
1998,2564,2530
1999,2340,2312
2000,2422,2396
2001,2630,2603
2002,2685,2659
2003,2802,2775
2004,2855,2829
2005,2743,2719
2006,3022,2997
2007,2915,2892
2008,2699,2678
2009,2399,2382
2010,2067,2053
2011,2004,1991
2012,1667,1657
2013,1525,1516
