YOB,Born,Alive
1900,16,0
1901,0,0
1902,13,0
1903,9,0
1904,8,0
1905,11,0
1906,8,0
1907,13,0
1908,16,0
1909,15,0
1910,22,0
1911,23,0
1912,50,0
1913,61,0
1914,66,1
1915,93,1
1916,121,2
1917,113,2
1918,106,2
1919,123,3
1920,143,3
1921,147,6
1922,159,10
1923,139,12
1924,139,15
1925,177,23
1926,145,22
1927,161,28
1928,128,25
1929,132,28
1930,142,33
1931,145,38
1932,159,47
1933,143,47
1934,143,51
1935,158,62
1936,149,63
1937,140,63
1938,118,57
1939,122,63
1940,128,70
1941,139,79
1942,126,74
1943,137,83
1944,114,72
1945,104,68
1946,131,88
1947,129,90
1948,125,90
1949,118,87
1950,99,75
1951,121,93
1952,120,94
1953,96,76
1954,93,74
1955,104,84
1956,94,77
1957,98,81
1958,98,82
1959,95,81
1960,91,78
1961,74,64
1962,86,75
1963,83,73
1964,102,90
1965,55,49
1966,64,57
1967,88,79
1968,80,73
1969,108,99
1970,90,83
1971,94,87
1972,73,68
1973,69,64
1974,63,59
1975,50,47
1976,56,53
1977,77,73
1978,52,49
1979,69,66
1980,74,71
1981,88,84
1982,93,89
1983,108,104
1984,108,104
1985,129,125
1986,159,154
1987,199,193
1988,214,208
1989,402,392
1990,1572,1534
1991,2353,2299
1992,2901,2838
1993,3393,3325
1994,4244,4164
1995,4190,4117
1996,3979,3915
1997,4237,4175
1998,4563,4502
1999,4540,4486
2000,4445,4398
2001,3894,3854
2002,3282,3250
2003,2857,2830
2004,2451,2429
2005,2254,2234
2006,1937,1921
2007,1832,1817
2008,1735,1722
2009,1472,1461
2010,1325,1316
2011,1267,1259
2012,1225,1217
2013,1092,1086
