YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,5,0
1918,0,0
1919,0,0
1920,0,0
1921,5,0
1922,6,0
1923,0,0
1924,7,1
1925,0,0
1926,0,0
1927,9,2
1928,10,2
1929,13,3
1930,12,3
1931,10,3
1932,11,3
1933,13,4
1934,8,3
1935,13,5
1936,18,8
1937,14,6
1938,11,5
1939,9,5
1940,11,6
1941,14,8
1942,8,5
1943,10,6
1944,10,6
1945,6,4
1946,11,7
1947,9,6
1948,18,13
1949,11,8
1950,11,8
1951,9,7
1952,15,12
1953,17,13
1954,12,10
1955,13,11
1956,10,8
1957,10,8
1958,8,7
1959,12,10
1960,15,13
1961,8,7
1962,8,7
1963,7,6
1964,13,12
1965,0,0
1966,0,0
1967,5,5
1968,6,5
1969,0,0
1970,13,12
1971,0,0
1972,0,0
1973,0,0
1974,6,6
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,5,5
