YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,6,4
1949,0,0
1950,11,8
1951,12,9
1952,14,11
1953,12,9
1954,15,12
1955,25,20
1956,40,33
1957,45,37
1958,52,44
1959,53,45
1960,74,64
1961,71,62
1962,84,73
1963,107,94
1964,100,88
1965,131,117
1966,124,111
1967,147,133
1968,146,133
1969,255,233
1970,337,310
1971,393,363
1972,314,292
1973,312,291
1974,288,269
1975,295,277
1976,295,278
1977,323,306
1978,353,335
1979,253,241
1980,200,191
1981,153,147
1982,130,125
1983,131,126
1984,123,119
1985,134,130
1986,117,113
1987,112,109
1988,121,118
1989,146,142
1990,154,150
1991,151,148
1992,110,108
1993,109,107
1994,129,127
1995,95,93
1996,90,89
1997,69,68
1998,86,85
1999,72,71
2000,93,92
2001,83,82
2002,76,75
2003,63,62
2004,72,71
2005,61,60
2006,53,53
2007,51,51
2008,39,39
2009,42,42
2010,21,21
2011,39,39
2012,33,33
2013,32,32
