YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,8,0
1913,0,0
1914,0,0
1915,11,0
1916,7,0
1917,11,0
1918,13,0
1919,9,0
1920,10,0
1921,15,1
1922,10,1
1923,0,0
1924,19,2
1925,9,1
1926,0,0
1927,9,2
1928,7,1
1929,8,2
1930,7,2
1931,0,0
1932,9,3
1933,15,5
1934,8,3
1935,11,4
1936,12,5
1937,12,5
1938,11,5
1939,12,6
1940,5,3
1941,5,3
1942,5,3
1943,5,3
1944,10,6
1945,5,3
1946,0,0
1947,6,4
1948,5,4
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,5,4
