YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,6,0
1909,0,0
1910,0,0
1911,5,0
1912,12,0
1913,10,0
1914,15,0
1915,9,0
1916,9,0
1917,10,0
1918,7,0
1919,9,0
1920,21,0
1921,16,1
1922,14,1
1923,14,1
1924,22,2
1925,24,3
1926,29,4
1927,18,3
1928,29,6
1929,12,3
1930,23,5
1931,11,3
1932,19,6
1933,17,6
1934,14,5
1935,19,7
1936,24,10
1937,10,5
1938,17,8
1939,15,8
1940,15,8
1941,15,8
1942,15,9
1943,17,10
1944,25,16
1945,16,10
1946,9,6
1947,24,17
1948,15,11
1949,15,11
1950,23,17
1951,14,11
1952,18,14
1953,21,17
1954,19,15
1955,21,17
1956,13,11
1957,18,15
1958,26,22
1959,28,24
1960,18,15
1961,28,24
1962,37,32
1963,24,21
1964,39,35
1965,29,26
1966,24,22
1967,21,19
1968,17,15
1969,37,34
1970,31,29
1971,30,28
1972,33,31
1973,35,33
1974,28,26
1975,33,31
1976,25,24
1977,33,31
1978,27,26
1979,32,31
1980,35,34
1981,33,32
1982,41,39
1983,30,29
1984,38,37
1985,37,36
1986,43,42
1987,29,28
1988,29,28
1989,35,34
1990,24,23
1991,36,35
1992,48,47
1993,37,36
1994,43,42
1995,37,36
1996,40,39
1997,33,33
1998,34,34
1999,88,87
2000,49,48
2001,58,57
2002,53,52
2003,43,43
2004,55,54
2005,49,49
2006,54,54
2007,50,50
2008,36,36
2009,39,39
2010,24,24
2011,35,35
2012,29,29
2013,28,28
