YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,6,0
1913,0,0
1914,0,0
1915,10,0
1916,5,0
1917,0,0
1918,7,0
1919,8,0
1920,0,0
1921,11,0
1922,5,0
1923,0,0
1924,8,1
1925,7,1
1926,6,1
1927,5,1
1928,0,0
1929,0,0
1930,7,1
1931,5,1
1932,0,0
1933,0,0
1934,0,0
1935,7,2
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,6,3
1942,0,0
1943,0,0
1944,7,4
1945,10,6
1946,11,7
1947,17,11
1948,16,11
1949,13,9
1950,22,16
1951,11,8
1952,13,10
1953,30,23
1954,69,53
1955,71,55
1956,65,52
1957,79,64
1958,71,58
1959,74,61
1960,79,67
1961,101,86
1962,189,162
1963,189,163
1964,211,184
1965,288,253
1966,265,234
1967,385,343
1968,397,356
1969,448,405
1970,467,426
1971,542,496
1972,597,549
1973,653,603
1974,680,631
1975,636,593
1976,655,613
1977,674,634
1978,659,622
1979,735,697
1980,694,661
1981,716,684
1982,627,600
1983,688,660
1984,621,597
1985,656,632
1986,762,735
1987,746,721
1988,789,764
1989,885,859
1990,867,843
1991,1051,1024
1992,1022,997
1993,942,920
1994,894,875
1995,855,838
1996,759,745
1997,679,667
1998,670,660
1999,650,641
2000,679,670
2001,673,665
2002,584,577
2003,554,548
2004,593,587
2005,496,491
2006,628,622
2007,541,536
2008,523,519
2009,482,478
2010,501,497
2011,432,429
2012,396,394
2013,425,423
2014,358,357
2015,374,373
2016,330,329
2017,323,323
