YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,5,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,7,0
1923,7,1
1924,12,1
1925,12,2
1926,24,4
1927,19,3
1928,33,6
1929,37,8
1930,41,10
1931,50,13
1932,70,21
1933,77,25
1934,88,32
1935,116,45
1936,112,47
1937,118,53
1938,127,61
1939,125,64
1940,140,76
1941,131,74
1942,157,92
1943,155,94
1944,140,88
1945,143,93
1946,146,98
1947,192,133
1948,144,103
1949,155,114
1950,134,102
1951,129,99
1952,133,104
1953,107,84
1954,111,89
1955,115,93
1956,104,85
1957,107,89
1958,69,58
1959,67,57
1960,83,71
1961,75,65
1962,63,55
1963,45,40
1964,32,28
1965,38,34
1966,35,31
1967,52,47
1968,46,42
1969,42,38
1970,27,25
1971,30,28
1972,25,23
1973,22,21
1974,22,21
1975,20,19
1976,19,18
1977,19,18
1978,22,21
1979,15,14
1980,11,11
1981,7,7
1982,6,6
1983,9,9
1984,0,0
1985,9,9
1986,0,0
1987,0,0
1988,0,0
1989,7,7
1990,0,0
1991,7,7
1992,6,6
1993,5,5
