YOB,Born,Alive
1900,46,0
1901,34,0
1902,44,0
1903,33,0
1904,50,0
1905,33,0
1906,43,0
1907,50,0
1908,46,0
1909,51,0
1910,54,0
1911,83,0
1912,141,1
1913,194,1
1914,194,2
1915,307,4
1916,276,4
1917,328,5
1918,350,6
1919,283,6
1920,349,8
1921,331,15
1922,267,17
1923,277,24
1924,291,31
1925,279,36
1926,237,36
1927,254,43
1928,260,50
1929,260,55
1930,212,50
1931,178,47
1932,199,59
1933,169,55
1934,170,61
1935,166,65
1936,150,63
1937,145,66
1938,117,56
1939,121,62
1940,127,69
1941,130,74
1942,141,83
1943,158,96
1944,138,87
1945,109,71
1946,133,90
1947,143,99
1948,148,106
1949,119,88
1950,115,87
1951,131,101
1952,100,78
1953,108,85
1954,101,81
1955,111,90
1956,91,75
1957,84,70
1958,94,79
1959,92,78
1960,68,59
1961,71,62
1962,61,53
1963,53,47
1964,53,47
1965,50,45
1966,58,52
1967,52,47
1968,57,52
1969,42,38
1970,37,34
1971,55,51
1972,32,30
1973,34,32
1974,31,29
1975,31,29
1976,29,27
1977,23,22
1978,27,26
1979,29,28
1980,22,21
1981,29,28
1982,18,17
1983,24,23
1984,23,22
1985,15,14
1986,24,23
1987,14,14
1988,16,16
1989,22,21
1990,16,16
1991,14,14
1992,19,19
1993,10,10
1994,5,5
1995,7,7
1996,6,6
1997,5,5
1998,10,10
1999,0,0
2000,5,5
2001,0,0
2002,10,10
2003,7,7
2004,7,7
2005,5,5
2006,0,0
2007,0,0
2008,7,7
2009,0,0
2010,5,5
