YOB,Born,Alive
1900,8,0
1901,7,0
1902,12,0
1903,0,0
1904,8,0
1905,12,0
1906,9,0
1907,10,0
1908,8,0
1909,12,0
1910,18,0
1911,15,0
1912,43,0
1913,29,0
1914,48,0
1915,66,1
1916,61,1
1917,69,1
1918,92,2
1919,106,2
1920,74,2
1921,85,4
1922,107,7
1923,101,9
1924,65,7
1925,75,10
1926,89,13
1927,64,11
1928,95,18
1929,81,17
1930,80,19
1931,61,16
1932,56,17
1933,56,18
1934,74,27
1935,49,19
1936,59,25
1937,49,22
1938,54,26
1939,69,35
1940,77,42
1941,54,31
1942,55,32
1943,60,37
1944,56,35
1945,49,32
1946,55,37
1947,66,46
1948,41,29
1949,51,38
1950,64,49
1951,45,35
1952,54,42
1953,34,27
1954,47,38
1955,67,54
1956,420,344
1957,597,496
1958,373,313
1959,265,225
1960,242,208
1961,188,163
1962,170,148
1963,138,121
1964,130,115
1965,157,140
1966,118,106
1967,167,151
1968,139,126
1969,148,135
1970,131,121
1971,130,120
1972,119,110
1973,156,145
1974,146,137
1975,110,103
1976,148,140
1977,299,283
1978,364,346
1979,274,261
1980,230,220
1981,208,200
1982,171,164
1983,182,175
1984,154,149
1985,200,193
1986,161,156
1987,211,205
1988,183,178
1989,243,237
1990,200,195
1991,193,189
1992,190,186
1993,252,247
1994,185,182
1995,220,216
1996,188,185
1997,214,211
1998,237,234
1999,361,357
2000,333,329
2001,278,275
2002,314,311
2003,275,272
2004,280,277
2005,247,245
2006,273,271
2007,355,352
2008,325,323
2009,249,247
2010,193,192
2011,224,223
2012,184,183
2013,184,183
