YOB,Born,Alive
1900,5,0
1901,0,0
1902,0,0
1903,5,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,9,0
1909,0,0
1910,10,0
1911,8,0
1912,13,0
1913,14,0
1914,25,0
1915,33,0
1916,29,0
1917,33,0
1918,32,0
1919,32,0
1920,32,0
1921,30,1
1922,38,1
1923,49,3
1924,32,2
1925,45,4
1926,30,3
1927,26,3
1928,30,4
1929,39,6
1930,41,6
1931,43,8
1932,25,5
1933,26,7
1934,33,9
1935,31,10
1936,28,10
1937,29,11
1938,45,19
1939,31,14
1940,28,13
1941,32,16
1942,40,21
1943,33,18
1944,35,20
1945,31,18
1946,37,23
1947,46,30
1948,49,33
1949,62,43
1950,57,41
1951,70,51
1952,68,51
1953,68,51
1954,93,71
1955,73,57
1956,87,69
1957,83,67
1958,83,68
1959,106,88
1960,107,90
1961,127,108
1962,128,110
1963,130,112
1964,122,106
1965,134,117
1966,109,96
1967,111,99
1968,119,107
1969,132,119
1970,139,127
1971,158,145
1972,168,154
1973,187,173
1974,184,171
1975,220,205
1976,205,192
1977,254,239
1978,312,295
1979,322,305
1980,410,391
1981,606,579
1982,615,588
1983,719,689
1984,1066,1024
1985,1141,1098
1986,1185,1143
1987,1401,1354
1988,1277,1237
1989,1336,1297
1990,1397,1359
1991,1384,1348
1992,1358,1325
1993,1383,1351
1994,1286,1258
1995,1332,1305
1996,1471,1444
1997,1474,1449
1998,1504,1481
1999,1583,1561
2000,1800,1777
2001,1856,1834
2002,2032,2009
2003,2130,2107
2004,2346,2321
2005,2574,2548
2006,2485,2462
2007,2711,2687
2008,2860,2836
2009,2736,2715
2010,2550,2531
2011,2670,2653
2012,2347,2334
2013,2394,2383
2014,2565,2556
2015,2738,2731
2016,2565,2560
2017,2502,2500
