YOB,Born,Alive
1900,19,0
1901,8,0
1902,8,0
1903,10,0
1904,6,0
1905,11,0
1906,8,0
1907,16,0
1908,13,0
1909,19,0
1910,20,0
1911,16,0
1912,27,0
1913,35,0
1914,38,0
1915,48,1
1916,45,1
1917,49,1
1918,49,1
1919,47,1
1920,53,1
1921,56,2
1922,58,4
1923,51,4
1924,55,6
1925,42,5
1926,57,9
1927,58,10
1928,41,8
1929,42,9
1930,54,13
1931,43,11
1932,42,12
1933,43,14
1934,44,16
1935,33,13
1936,38,16
1937,36,16
1938,44,21
1939,31,16
1940,49,27
1941,43,24
1942,35,21
1943,44,27
1944,45,28
1945,53,35
1946,43,29
1947,56,39
1948,52,37
1949,51,38
1950,46,35
1951,40,31
1952,42,33
1953,57,45
1954,39,31
1955,40,32
1956,46,38
1957,32,27
1958,39,33
1959,32,27
1960,52,45
1961,39,34
1962,24,21
1963,31,27
1964,39,35
1965,34,30
1966,28,25
1967,34,31
1968,25,23
1969,40,37
1970,41,38
1971,49,45
1972,59,55
1973,59,55
1974,79,74
1975,88,83
1976,75,71
1977,123,116
1978,127,121
1979,119,114
1980,118,113
1981,119,114
1982,130,125
1983,149,143
1984,160,154
1985,117,113
1986,151,146
1987,162,157
1988,191,186
1989,223,217
1990,263,257
1991,255,249
1992,262,256
1993,294,288
1994,290,285
1995,333,327
1996,386,380
1997,467,460
1998,498,491
1999,689,681
2000,738,730
2001,728,721
2002,791,783
2003,910,901
2004,984,975
2005,1066,1057
2006,1287,1276
2007,1435,1424
2008,1539,1527
2009,1606,1594
2010,1681,1669
2011,1861,1849
2012,1923,1911
2013,2170,2157
