YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,5,0
1913,0,0
1914,0,0
1915,6,0
1916,11,0
1917,8,0
1918,13,0
1919,8,0
1920,12,0
1921,13,0
1922,23,1
1923,10,1
1924,13,1
1925,15,1
1926,15,1
1927,17,2
1928,16,2
1929,16,2
1930,15,2
1931,14,3
1932,11,2
1933,12,3
1934,14,4
1935,11,3
1936,17,6
1937,9,3
1938,10,4
1939,12,5
1940,8,4
1941,12,6
1942,22,12
1943,14,8
1944,19,11
1945,18,11
1946,24,15
1947,16,10
1948,25,17
1949,23,16
1950,12,9
1951,17,12
1952,14,10
1953,30,23
1954,17,13
1955,27,21
1956,29,23
1957,26,21
1958,29,24
1959,20,17
1960,27,23
1961,19,16
1962,25,21
1963,27,23
1964,32,28
1965,28,25
1966,36,32
1967,25,22
1968,24,22
1969,34,31
1970,42,38
1971,42,38
1972,46,42
1973,63,58
1974,48,45
1975,64,60
1976,76,71
1977,67,63
1978,63,59
1979,67,64
1980,99,94
1981,97,93
1982,103,99
1983,80,77
1984,81,78
1985,75,72
1986,93,90
1987,96,93
1988,119,115
1989,115,112
1990,177,172
1991,163,159
1992,177,173
1993,188,184
1994,236,231
1995,286,280
1996,329,323
1997,332,326
1998,321,316
1999,356,351
2000,331,327
2001,359,355
2002,397,392
2003,392,388
2004,403,399
2005,437,433
2006,464,460
2007,487,483
2008,520,516
2009,466,462
2010,445,442
2011,455,452
2012,509,506
2013,468,466
2014,488,486
2015,487,486
2016,564,563
2017,699,698
