YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,6,0
1908,9,0
1909,0,0
1910,7,0
1911,0,0
1912,8,0
1913,8,0
1914,16,0
1915,14,0
1916,9,0
1917,8,0
1918,15,0
1919,18,0
1920,17,0
1921,27,1
1922,28,2
1923,22,2
1924,33,4
1925,49,6
1926,26,4
1927,33,6
1928,45,9
1929,45,10
1930,48,11
1931,40,11
1932,29,9
1933,35,11
1934,25,9
1935,32,12
1936,31,13
1937,29,13
1938,20,10
1939,26,13
1940,32,17
1941,31,18
1942,34,20
1943,21,13
1944,40,25
1945,34,22
1946,24,16
1947,31,22
1948,34,24
1949,23,17
1950,26,20
1951,28,22
1952,36,28
1953,38,30
1954,32,26
1955,29,23
1956,22,18
1957,33,27
1958,35,29
1959,29,25
1960,30,26
1961,34,29
1962,33,29
1963,26,23
1964,41,36
1965,26,23
1966,30,27
1967,26,23
1968,31,28
1969,18,16
1970,29,27
1971,29,27
1972,30,28
1973,34,32
1974,38,36
1975,33,31
1976,41,39
1977,33,31
1978,35,33
1979,36,34
1980,35,34
1981,34,33
1982,35,34
1983,30,29
1984,28,27
1985,33,32
1986,30,29
1987,32,31
1988,24,23
1989,34,33
1990,34,33
1991,39,38
1992,50,49
1993,33,32
1994,35,34
1995,35,34
1996,37,36
1997,33,33
1998,29,29
1999,36,36
2000,28,28
2001,26,26
2002,22,22
2003,38,38
2004,23,23
2005,20,20
2006,28,28
2007,24,24
2008,15,15
2009,16,16
2010,17,17
2011,16,16
2012,17,17
2013,9,9
