YOB,Born,Alive
1900,10,0
1901,9,0
1902,0,0
1903,0,0
1904,0,0
1905,14,0
1906,5,0
1907,0,0
1908,9,0
1909,6,0
1910,10,0
1911,10,0
1912,25,0
1913,38,0
1914,41,0
1915,58,0
1916,46,0
1917,48,0
1918,53,0
1919,46,0
1920,45,0
1921,68,1
1922,62,1
1923,52,1
1924,62,2
1925,43,2
1926,51,3
1927,49,3
1928,50,4
1929,40,3
1930,37,3
1931,48,6
1932,43,7
1933,31,6
1934,30,6
1935,35,9
1936,44,12
1937,29,9
1938,32,11
1939,47,17
1940,34,13
1941,37,16
1942,35,16
1943,40,19
1944,34,17
1945,26,14
1946,40,22
1947,28,16
1948,29,18
1949,22,14
1950,23,15
1951,22,15
1952,22,15
1953,26,19
1954,28,20
1955,16,12
1956,17,13
1957,22,17
1958,15,12
1959,19,15
1960,17,14
1961,12,10
1962,14,12
1963,14,12
1964,5,4
1965,13,11
1966,11,10
1967,11,10
1968,10,9
1969,16,14
1970,11,10
1971,6,5
1972,5,5
1973,0,0
1974,8,7
1975,13,12
1976,6,6
1977,5,5
1978,10,9
1979,0,0
1980,6,6
1981,0,0
1982,5,5
1983,5,5
1984,7,7
1985,0,0
1986,5,5
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,5,5
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,6,6
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
2020,0,0
