YOB,Born,Alive
1900,0,0
1901,0,0
1902,5,0
1903,0,0
1904,6,0
1905,6,0
1906,0,0
1907,0,0
1908,6,0
1909,6,0
1910,6,0
1911,12,0
1912,31,0
1913,32,0
1914,50,0
1915,79,0
1916,65,0
1917,82,0
1918,76,0
1919,57,0
1920,61,0
1921,70,1
1922,62,1
1923,48,1
1924,59,2
1925,52,2
1926,58,3
1927,42,3
1928,57,4
1929,68,6
1930,72,6
1931,91,11
1932,101,15
1933,127,23
1934,138,29
1935,167,41
1936,150,41
1937,170,52
1938,163,55
1939,179,66
1940,145,58
1941,169,72
1942,200,90
1943,218,104
1944,142,72
1945,196,104
1946,199,111
1947,223,131
1948,201,123
1949,194,124
1950,208,139
1951,177,121
1952,207,145
1953,186,133
1954,173,126
1955,180,134
1956,153,116
1957,142,110
1958,116,92
1959,133,107
1960,109,89
1961,102,84
1962,95,79
1963,91,77
1964,92,78
1965,90,77
1966,66,57
1967,81,71
1968,72,64
1969,70,62
1970,70,63
1971,79,71
1972,69,63
1973,71,65
1974,41,38
1975,51,47
1976,43,40
1977,50,47
1978,41,38
1979,52,49
1980,37,35
1981,33,31
1982,36,34
1983,31,30
1984,32,31
1985,30,29
1986,28,27
1987,19,18
1988,29,28
1989,31,30
1990,37,36
1991,30,29
1992,22,21
1993,18,18
1994,27,26
1995,20,20
1996,20,20
1997,21,21
1998,21,21
1999,22,22
2000,17,17
2001,29,29
2002,10,10
2003,12,12
2004,12,12
2005,6,6
2006,14,14
2007,9,9
2008,15,15
2009,12,12
2010,15,15
2011,13,13
2012,14,14
2013,17,17
2014,13,13
2015,11,11
2016,15,15
2017,13,13
2018,13,13
2019,12,12
2020,15,15
