YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,5,0
1916,5,0
1917,9,0
1918,8,0
1919,6,0
1920,8,0
1921,5,0
1922,0,0
1923,5,0
1924,6,0
1925,9,1
1926,5,0
1927,0,0
1928,0,0
1929,8,1
1930,7,1
1931,0,0
1932,5,1
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,5,2
1940,5,2
1941,0,0
1942,7,4
1943,0,0
1944,5,3
1945,0,0
1946,6,4
1947,6,4
1948,0,0
1949,5,3
1950,7,5
1951,0,0
1952,0,0
1953,0,0
1954,5,4
1955,5,4
1956,7,6
1957,6,5
1958,10,8
1959,14,12
1960,9,8
1961,8,7
1962,14,12
1963,15,13
1964,13,11
1965,6,5
1966,9,8
1967,9,8
1968,14,13
1969,9,8
1970,13,12
1971,0,0
1972,8,7
1973,11,10
1974,0,0
1975,9,8
1976,0,0
1977,9,8
1978,5,5
1979,8,8
1980,8,8
1981,7,7
1982,8,8
1983,0,0
1984,5,5
1985,7,7
1986,5,5
1987,6,6
1988,5,5
1989,0,0
1990,6,6
1991,5,5
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,5,5
1998,8,8
1999,0,0
2000,7,7
2001,0,0
2002,5,5
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,5,5
2009,0,0
2010,0,0
2011,5,5
2012,5,5
2013,0,0
2014,7,7
2015,0,0
2016,7,7
2017,0,0
