YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,6,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,10,0
1911,9,0
1912,16,0
1913,21,0
1914,25,0
1915,42,0
1916,37,1
1917,39,1
1918,44,1
1919,39,1
1920,53,1
1921,35,2
1922,82,5
1923,47,4
1924,49,5
1925,45,6
1926,54,8
1927,46,8
1928,45,9
1929,54,12
1930,40,9
1931,46,12
1932,42,12
1933,40,13
1934,38,14
1935,56,22
1936,54,23
1937,27,12
1938,43,21
1939,36,19
1940,36,20
1941,24,14
1942,37,22
1943,38,23
1944,20,13
1945,23,15
1946,27,18
1947,32,22
1948,23,16
1949,24,18
1950,19,14
1951,22,17
1952,22,17
1953,21,17
1954,25,20
1955,16,13
1956,35,29
1957,14,12
1958,24,20
1959,20,17
1960,18,15
1961,20,17
1962,26,23
1963,10,9
1964,17,15
1965,20,18
1966,11,10
1967,10,9
1968,11,10
1969,8,7
1970,6,6
1971,11,10
1972,9,8
1973,6,6
1974,11,10
1975,13,12
1976,8,8
1977,7,7
1978,9,9
1979,5,5
1980,5,5
1981,7,7
1982,7,7
1983,0,0
1984,6,6
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,7,7
1990,0,0
1991,5,5
1992,5,5
1993,0,0
1994,5,5
1995,5,5
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,6,6
2005,0,0
2006,0,0
2007,5,5
