YOB,Born,Alive
1900,13,0
1901,0,0
1902,11,0
1903,6,0
1904,6,0
1905,9,0
1906,6,0
1907,14,0
1908,8,0
1909,14,0
1910,13,0
1911,10,0
1912,12,0
1913,11,0
1914,17,0
1915,22,0
1916,25,0
1917,20,0
1918,24,0
1919,20,0
1920,27,0
1921,14,0
1922,16,1
1923,24,1
1924,17,1
1925,20,2
1926,23,2
1927,15,2
1928,8,1
1929,15,2
1930,14,2
1931,12,2
1932,11,2
1933,26,7
1934,15,4
1935,11,3
1936,13,5
1937,16,6
1938,8,3
1939,12,5
1940,6,3
1941,18,9
1942,7,4
1943,17,9
1944,14,8
1945,14,8
1946,10,6
1947,17,11
1948,19,13
1949,11,8
1950,21,15
1951,12,9
1952,9,7
1953,11,8
1954,6,5
1955,9,7
1956,10,8
1957,10,8
1958,9,7
1959,7,6
1960,8,7
1961,7,6
1962,8,7
1963,6,5
1964,6,5
1965,0,0
1966,10,9
1967,5,4
1968,0,0
1969,10,9
1970,0,0
1971,7,6
1972,0,0
1973,5,5
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,6,6
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
