YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,6,0
1905,7,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,9,0
1912,13,0
1913,16,0
1914,9,0
1915,16,0
1916,23,0
1917,16,0
1918,21,0
1919,14,0
1920,15,0
1921,24,1
1922,28,2
1923,28,2
1924,22,2
1925,17,2
1926,12,2
1927,17,3
1928,24,5
1929,22,5
1930,15,4
1931,12,3
1932,6,2
1933,14,5
1934,5,2
1935,8,3
1936,7,3
1937,9,4
1938,11,5
1939,6,3
1940,10,5
1941,5,3
1942,10,6
1943,8,5
1944,6,4
1945,0,0
1946,8,5
1947,10,7
1948,8,6
1949,5,4
1950,5,4
1951,5,4
1952,12,9
1953,9,7
1954,0,0
1955,0,0
1956,0,0
1957,8,7
1958,5,4
1959,0,0
1960,0,0
1961,5,4
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,5,5
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,5,5
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,5,5
