YOB,Born,Alive
1900,290,0
1901,192,0
1902,217,0
1903,193,0
1904,202,0
1905,200,0
1906,195,0
1907,212,0
1908,215,0
1909,260,0
1910,279,0
1911,307,0
1912,648,1
1913,754,2
1914,967,3
1915,1318,5
1916,1619,7
1917,1403,7
1918,1489,9
1919,1416,10
1920,1489,11
1921,1485,33
1922,1442,54
1923,1410,74
1924,1541,103
1925,1386,114
1926,1393,135
1927,1356,151
1928,1375,174
1929,1231,174
1930,1341,209
1931,1326,249
1932,1320,290
1933,1118,282
1934,1187,337
1935,1142,360
1936,1074,373
1937,1070,406
1938,1121,461
1939,999,443
1940,1059,503
1941,1082,540
1942,1254,657
1943,1207,661
1944,1061,607
1945,961,573
1946,1088,675
1947,1199,774
1948,1039,696
1949,1042,723
1950,961,690
1951,1020,745
1952,979,727
1953,958,724
1954,938,720
1955,896,699
1956,960,761
1957,966,778
1958,1031,843
1959,983,816
1960,901,759
1961,872,741
1962,812,695
1963,796,687
1964,722,628
1965,656,575
1966,566,500
1967,502,447
1968,495,444
1969,464,420
1970,486,443
1971,435,398
1972,402,370
1973,299,276
1974,293,272
1975,280,261
1976,242,227
1977,263,247
1978,241,228
1979,237,225
1980,228,217
1981,210,200
1982,229,219
1983,198,190
1984,201,193
1985,225,217
1986,190,183
1987,199,192
1988,186,180
1989,210,204
1990,193,188
1991,176,171
1992,161,157
1993,142,139
1994,168,164
1995,176,172
1996,193,189
1997,202,199
1998,203,200
1999,178,176
2000,171,169
2001,187,185
2002,191,189
2003,194,192
2004,184,182
2005,182,180
2006,184,182
2007,200,198
2008,194,192
2009,199,197
2010,206,204
2011,210,209
2012,220,219
2013,227,226
2014,254,253
2015,263,262
2016,263,263
2017,263,263
