YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,5,0
1905,0,0
1906,0,0
1907,0,0
1908,5,0
1909,0,0
1910,5,0
1911,8,0
1912,12,0
1913,9,0
1914,19,0
1915,10,0
1916,14,0
1917,16,0
1918,25,0
1919,35,1
1920,39,1
1921,39,2
1922,82,5
1923,114,10
1924,203,22
1925,276,36
1926,361,54
1927,487,83
1928,605,116
1929,781,167
1930,973,228
1931,1121,298
1932,1318,391
1933,1338,438
1934,1564,561
1935,1900,740
1936,1813,763
1937,1814,820
1938,1942,938
1939,1890,971
1940,1888,1029
1941,1964,1112
1942,1847,1086
1943,1778,1083
1944,1639,1034
1945,1494,974
1946,1730,1165
1947,1986,1380
1948,1833,1313
1949,1959,1445
1950,1920,1457
1951,2052,1578
1952,2012,1568
1953,1964,1550
1954,1955,1563
1955,1997,1617
1956,1861,1526
1957,1705,1415
1958,1504,1264
1959,1456,1238
1960,1369,1178
1961,1315,1140
1962,1162,1014
1963,1058,930
1964,982,869
1965,885,788
1966,784,703
1967,809,731
1968,721,656
1969,732,670
1970,753,694
1971,734,679
1972,675,627
1973,637,594
1974,593,555
1975,587,551
1976,560,528
1977,520,492
1978,441,419
1979,418,399
1980,457,438
1981,411,394
1982,376,361
1983,330,318
1984,287,277
1985,299,289
1986,276,267
1987,251,244
1988,251,244
1989,268,261
1990,262,256
1991,260,254
1992,215,210
1993,203,199
1994,199,195
1995,162,159
1996,186,183
1997,195,192
1998,201,198
1999,189,187
2000,199,197
2001,177,175
2002,148,147
2003,147,146
2004,119,118
2005,115,114
2006,119,118
2007,119,118
2008,105,104
2009,103,102
2010,74,73
2011,84,83
2012,114,113
2013,58,58
