YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,7,0
1924,0,0
1925,12,1
1926,10,1
1927,14,2
1928,10,1
1929,12,2
1930,17,3
1931,14,3
1932,15,3
1933,17,4
1934,19,5
1935,30,9
1936,27,9
1937,29,11
1938,28,12
1939,35,16
1940,38,18
1941,37,18
1942,54,28
1943,43,24
1944,52,30
1945,66,39
1946,72,45
1947,50,32
1948,67,45
1949,79,55
1950,72,52
1951,87,64
1952,100,74
1953,102,77
1954,108,83
1955,113,88
1956,98,78
1957,92,74
1958,108,88
1959,121,100
1960,157,132
1961,186,158
1962,172,147
1963,201,173
1964,213,185
1965,279,245
1966,289,255
1967,398,354
1968,642,576
1969,2083,1884
1970,4321,3937
1971,7492,6857
1972,7401,6805
1973,9364,8649
1974,13301,12340
1975,15201,14166
1976,20138,18851
1977,21614,20322
1978,19511,18426
1979,21010,19929
1980,19901,18960
1981,19114,18248
1982,16470,15757
1983,14257,13668
1984,13255,12734
1985,13447,12945
1986,16264,15690
1987,14470,13988
1988,13164,12752
1989,13077,12694
1990,11684,11365
1991,10401,10132
1992,9042,8822
1993,8571,8375
1994,8227,8051
1995,7085,6944
1996,6411,6293
1997,5803,5704
1998,5541,5455
1999,5015,4945
2000,4737,4677
2001,4269,4218
2002,4164,4116
2003,3889,3846
2004,3863,3823
2005,3484,3449
2006,3442,3410
2007,3428,3398
2008,3249,3222
2009,2940,2917
2010,2817,2796
2011,2521,2505
2012,2833,2817
2013,2522,2510
2014,2513,2504
2015,2387,2380
2016,2126,2122
2017,2035,2033
