YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,7,6
1959,5,4
1960,0,0
1961,5,4
1962,11,10
1963,6,5
1964,0,0
1965,11,10
1966,5,4
1967,0,0
1968,7,6
1969,9,8
1970,12,11
1971,20,18
1972,12,11
1973,16,15
1974,23,22
1975,22,21
1976,22,21
1977,13,12
1978,17,16
1979,22,21
1980,20,19
1981,12,12
1982,10,10
1983,17,16
1984,20,19
1985,35,34
1986,21,20
1987,47,46
1988,51,50
1989,54,53
1990,65,63
1991,71,69
1992,66,65
1993,69,68
1994,68,67
1995,83,82
1996,116,114
1997,196,193
1998,320,316
1999,358,354
2000,411,407
2001,406,402
2002,377,373
2003,329,326
2004,197,195
2005,162,161
2006,165,164
2007,178,177
2008,180,179
2009,154,153
2010,136,135
2011,128,127
2012,103,102
2013,114,113
