YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,5,0
1912,0,0
1913,9,0
1914,12,0
1915,11,0
1916,6,0
1917,16,0
1918,8,0
1919,12,0
1920,10,0
1921,9,0
1922,21,1
1923,21,2
1924,21,2
1925,12,2
1926,19,3
1927,21,4
1928,16,3
1929,26,6
1930,15,4
1931,21,6
1932,24,7
1933,12,4
1934,23,8
1935,18,7
1936,16,7
1937,13,6
1938,23,11
1939,14,7
1940,21,11
1941,17,10
1942,20,12
1943,19,12
1944,15,9
1945,25,16
1946,20,13
1947,29,20
1948,28,20
1949,21,15
1950,29,22
1951,28,22
1952,26,20
1953,19,15
1954,12,10
1955,35,28
1956,16,13
1957,32,27
1958,26,22
1959,31,26
1960,30,26
1961,20,17
1962,25,22
1963,25,22
1964,38,34
1965,36,32
1966,39,35
1967,34,31
1968,55,50
1969,60,55
1970,61,56
1971,80,74
1972,70,65
1973,69,64
1974,83,78
1975,60,56
1976,60,57
1977,70,66
1978,66,63
1979,66,63
1980,99,95
1981,98,94
1982,117,112
1983,104,100
1984,106,102
1985,122,118
1986,115,111
1987,101,98
1988,99,96
1989,100,97
1990,114,111
1991,115,112
1992,125,122
1993,129,126
1994,126,124
1995,109,107
1996,128,126
1997,93,92
1998,132,130
1999,113,112
2000,136,135
2001,140,139
2002,125,124
2003,132,131
2004,143,142
2005,141,140
2006,141,140
2007,133,132
2008,137,136
2009,112,111
2010,100,99
2011,80,79
2012,83,82
2013,105,104
