YOB,Born,Alive
1900,16,0
1901,6,0
1902,13,0
1903,12,0
1904,8,0
1905,11,0
1906,11,0
1907,19,0
1908,23,0
1909,16,0
1910,16,0
1911,25,0
1912,35,0
1913,43,0
1914,72,0
1915,68,0
1916,67,0
1917,82,0
1918,93,0
1919,82,0
1920,91,0
1921,99,1
1922,82,2
1923,93,3
1924,84,3
1925,72,3
1926,73,4
1927,76,5
1928,70,5
1929,60,5
1930,60,5
1931,50,6
1932,70,11
1933,50,9
1934,54,11
1935,62,15
1936,47,13
1937,52,16
1938,41,14
1939,42,15
1940,55,22
1941,54,23
1942,58,26
1943,42,20
1944,42,21
1945,36,19
1946,42,24
1947,50,29
1948,40,25
1949,60,38
1950,49,33
1951,66,45
1952,46,32
1953,53,38
1954,55,40
1955,63,47
1956,68,52
1957,72,56
1958,70,55
1959,61,49
1960,63,52
1961,63,52
1962,68,57
1963,58,49
1964,55,47
1965,49,42
1966,55,48
1967,48,42
1968,55,49
1969,62,55
1970,46,41
1971,49,44
1972,53,48
1973,54,49
1974,46,42
1975,46,42
1976,49,45
1977,53,49
1978,45,42
1979,46,43
1980,53,50
1981,45,43
1982,47,45
1983,34,32
1984,46,44
1985,37,35
1986,39,37
1987,30,29
1988,41,40
1989,37,36
1990,41,40
1991,42,41
1992,31,30
1993,28,27
1994,43,42
1995,26,25
1996,32,31
1997,36,35
1998,27,27
1999,30,29
2000,36,35
2001,36,35
2002,38,37
2003,29,29
2004,33,33
2005,43,43
2006,41,41
2007,47,47
2008,50,50
2009,52,52
2010,56,56
2011,49,49
2012,58,58
2013,61,61
2014,68,68
2015,73,73
2016,83,83
2017,64,64
2018,64,64
2019,87,87
2020,89,89
