YOB,Born,Alive
1900,11,0
1901,0,0
1902,5,0
1903,11,0
1904,0,0
1905,6,0
1906,6,0
1907,0,0
1908,0,0
1909,0,0
1910,5,0
1911,9,0
1912,9,0
1913,11,0
1914,11,0
1915,10,0
1916,10,0
1917,20,0
1918,13,0
1919,7,0
1920,18,0
1921,14,1
1922,16,1
1923,16,1
1924,17,2
1925,14,2
1926,14,2
1927,17,3
1928,15,3
1929,7,1
1930,18,4
1931,21,6
1932,15,4
1933,8,3
1934,9,3
1935,10,4
1936,15,6
1937,5,2
1938,11,5
1939,12,6
1940,8,4
1941,15,8
1942,11,6
1943,8,5
1944,11,7
1945,5,3
1946,6,4
1947,12,8
1948,10,7
1949,12,9
1950,7,5
1951,14,11
1952,6,5
1953,7,6
1954,0,0
1955,10,8
1956,0,0
1957,9,7
1958,8,7
1959,0,0
1960,6,5
1961,9,8
1962,10,9
1963,9,8
1964,5,4
1965,6,5
1966,11,10
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,5,5
