YOB,Born,Alive
1900,5,0
1901,6,0
1902,5,0
1903,7,0
1904,5,0
1905,0,0
1906,11,0
1907,12,0
1908,10,0
1909,8,0
1910,6,0
1911,13,0
1912,14,0
1913,9,0
1914,28,0
1915,29,0
1916,34,0
1917,41,1
1918,31,1
1919,48,1
1920,38,1
1921,41,2
1922,40,3
1923,43,4
1924,43,5
1925,38,5
1926,45,7
1927,53,9
1928,42,8
1929,39,8
1930,53,12
1931,37,10
1932,34,10
1933,34,11
1934,37,13
1935,37,14
1936,37,16
1937,32,14
1938,25,12
1939,34,17
1940,47,26
1941,28,16
1942,31,18
1943,19,12
1944,26,16
1945,17,11
1946,29,20
1947,23,16
1948,18,13
1949,22,16
1950,19,14
1951,10,8
1952,30,23
1953,14,11
1954,24,19
1955,24,19
1956,16,13
1957,16,13
1958,20,17
1959,15,13
1960,12,10
1961,14,12
1962,15,13
1963,11,10
1964,16,14
1965,18,16
1966,14,13
1967,8,7
1968,11,10
1969,8,7
1970,8,7
1971,7,6
1972,9,8
1973,5,5
1974,0,0
1975,0,0
1976,6,6
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,7,7
1982,0,0
1983,0,0
1984,0,0
1985,6,6
1986,6,6
