YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,5,0
1916,0,0
1917,0,0
1918,0,0
1919,6,0
1920,0,0
1921,7,0
1922,0,0
1923,0,0
1924,0,0
1925,6,1
1926,8,1
1927,7,1
1928,6,1
1929,0,0
1930,6,1
1931,0,0
1932,0,0
1933,0,0
1934,8,3
1935,8,3
1936,0,0
1937,0,0
1938,0,0
1939,6,3
1940,0,0
1941,0,0
1942,9,5
1943,0,0
1944,5,3
1945,6,4
1946,0,0
1947,8,6
1948,7,5
1949,5,4
1950,8,6
1951,5,4
1952,0,0
1953,0,0
1954,6,5
1955,6,5
1956,5,4
1957,9,7
1958,8,7
1959,7,6
1960,0,0
1961,6,5
1962,0,0
1963,9,8
1964,0,0
1965,0,0
1966,5,4
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,6,6
1976,6,6
1977,0,0
1978,0,0
1979,0,0
1980,5,5
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,5,5
