YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,7,0
1916,9,0
1917,0,0
1918,0,0
1919,0,0
1920,10,0
1921,0,0
1922,7,0
1923,6,1
1924,11,1
1925,6,1
1926,10,1
1927,0,0
1928,6,1
1929,0,0
1930,5,1
1931,0,0
1932,8,2
1933,0,0
1934,0,0
1935,0,0
1936,5,2
1937,0,0
1938,0,0
1939,5,3
1940,0,0
1941,5,3
1942,0,0
1943,0,0
1944,5,3
1945,0,0
1946,0,0
1947,10,7
1948,8,6
1949,9,7
1950,13,10
1951,19,15
1952,17,13
1953,19,15
1954,30,24
1955,28,23
1956,34,28
1957,34,28
1958,51,43
1959,45,38
1960,55,47
1961,63,55
1962,46,40
1963,68,60
1964,66,58
1965,69,61
1966,79,71
1967,85,77
1968,87,79
1969,105,96
1970,120,111
1971,123,114
1972,96,89
1973,109,102
1974,126,118
1975,130,122
1976,133,125
1977,135,128
1978,163,155
1979,149,142
1980,137,131
1981,148,142
1982,163,157
1983,177,170
1984,200,193
1985,191,185
1986,236,229
1987,265,257
1988,299,291
1989,317,309
1990,384,375
1991,363,355
1992,390,382
1993,375,367
1994,396,389
1995,350,344
1996,306,301
1997,330,325
1998,286,282
1999,305,301
2000,300,297
2001,277,274
2002,287,284
2003,301,298
2004,331,328
2005,289,286
2006,369,366
2007,344,341
2008,353,350
2009,390,387
2010,345,343
2011,341,339
2012,263,261
2013,277,275
