YOB,Born,Alive
1900,11,0
1901,11,0
1902,15,0
1903,7,0
1904,16,0
1905,9,0
1906,12,0
1907,9,0
1908,19,0
1909,15,0
1910,14,0
1911,35,0
1912,74,0
1913,79,0
1914,97,0
1915,128,0
1916,155,0
1917,164,0
1918,182,0
1919,183,0
1920,172,0
1921,210,2
1922,219,4
1923,196,6
1924,237,9
1925,241,11
1926,237,13
1927,251,16
1928,280,20
1929,266,22
1930,311,28
1931,302,36
1932,350,53
1933,340,62
1934,324,69
1935,386,94
1936,337,92
1937,346,105
1938,343,115
1939,369,135
1940,315,125
1941,345,146
1942,302,136
1943,331,158
1944,219,111
1945,280,149
1946,325,182
1947,316,186
1948,297,182
1949,283,182
1950,289,193
1951,268,183
1952,306,214
1953,295,211
1954,337,246
1955,293,218
1956,288,219
1957,277,215
1958,287,227
1959,240,193
1960,232,190
1961,246,204
1962,223,186
1963,212,179
1964,226,192
1965,219,188
1966,221,192
1967,173,152
1968,180,159
1969,161,144
1970,182,164
1971,249,225
1972,238,216
1973,198,181
1974,226,208
1975,156,144
1976,166,154
1977,155,145
1978,141,132
1979,127,120
1980,119,113
1981,121,115
1982,120,114
1983,124,118
1984,108,103
1985,106,102
1986,86,83
1987,100,96
1988,125,121
1989,116,112
1990,117,113
1991,114,111
1992,108,105
1993,119,116
1994,112,109
1995,114,111
1996,101,99
1997,116,114
1998,98,96
1999,95,93
2000,88,87
2001,97,96
2002,80,79
2003,93,92
2004,84,83
2005,100,99
2006,96,95
2007,94,93
2008,78,77
2009,67,66
2010,69,68
2011,80,79
2012,86,85
2013,71,71
2014,81,80
2015,82,81
2016,70,70
2017,79,79
2018,86,86
2019,74,74
2020,67,67
