YOB,Born,Alive
1900,32,0
1901,15,0
1902,24,0
1903,21,0
1904,20,0
1905,22,0
1906,20,0
1907,22,0
1908,27,0
1909,16,0
1910,27,0
1911,30,0
1912,58,0
1913,85,1
1914,89,1
1915,98,1
1916,136,2
1917,114,2
1918,116,2
1919,125,3
1920,142,3
1921,144,6
1922,131,9
1923,128,11
1924,119,13
1925,114,15
1926,122,18
1927,108,18
1928,108,21
1929,96,20
1930,95,22
1931,85,23
1932,86,26
1933,83,27
1934,89,32
1935,83,32
1936,82,35
1937,70,32
1938,80,39
1939,80,41
1940,77,42
1941,81,46
1942,103,61
1943,89,54
1944,91,57
1945,69,45
1946,84,57
1947,88,61
1948,91,65
1949,94,69
1950,90,68
1951,86,66
1952,86,67
1953,80,63
1954,70,56
1955,98,79
1956,91,75
1957,72,60
1958,89,75
1959,88,75
1960,79,68
1961,89,77
1962,90,79
1963,94,83
1964,98,87
1965,75,67
1966,90,81
1967,88,79
1968,108,98
1969,156,143
1970,183,169
1971,166,154
1972,132,123
1973,153,143
1974,267,250
1975,308,289
1976,251,237
1977,267,253
1978,270,257
1979,320,305
1980,336,322
1981,310,297
1982,326,313
1983,240,231
1984,277,267
1985,454,439
1986,650,629
1987,815,791
1988,1024,995
1989,1094,1065
1990,1476,1440
1991,2034,1987
1992,2201,2154
1993,2469,2419
1994,2803,2750
1995,3630,3567
1996,3880,3818
1997,4267,4204
1998,4657,4595
1999,5451,5386
2000,6516,6447
2001,7446,7370
2002,7878,7800
2003,7894,7819
2004,8616,8537
2005,9762,9677
2006,10403,10316
2007,10758,10672
2008,10472,10392
2009,10676,10598
2010,14819,14717
2011,19478,19351
2012,18920,18803
2013,17591,17489
