YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,5,0
1915,10,0
1916,0,0
1917,7,0
1918,9,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,5,0
1924,0,0
1925,0,0
1926,6,1
1927,0,0
1928,0,0
1929,5,1
1930,5,1
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,6,5
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,8,7
1964,7,6
1965,7,6
1966,6,5
1967,10,9
1968,13,12
1969,17,16
1970,23,21
1971,26,24
1972,16,15
1973,27,25
1974,17,16
1975,21,20
1976,25,24
1977,21,20
1978,23,22
1979,29,28
1980,37,35
1981,36,35
1982,31,30
1983,31,30
1984,29,28
1985,33,32
1986,55,53
1987,75,73
1988,83,81
1989,87,85
1990,106,103
1991,99,97
1992,115,113
1993,159,156
1994,149,146
1995,140,138
1996,163,160
1997,166,164
1998,227,224
1999,249,246
2000,242,239
2001,209,207
2002,234,232
2003,216,214
2004,200,198
2005,191,189
2006,158,157
2007,176,175
2008,197,195
2009,182,181
2010,191,190
2011,132,131
2012,139,138
2013,119,118
