YOB,Born,Alive
1900,6,0
1901,8,0
1902,5,0
1903,5,0
1904,6,0
1905,9,0
1906,6,0
1907,5,0
1908,8,0
1909,10,0
1910,5,0
1911,9,0
1912,20,0
1913,26,0
1914,35,0
1915,50,1
1916,59,1
1917,42,1
1918,53,1
1919,65,1
1920,52,1
1921,57,3
1922,55,4
1923,43,4
1924,65,7
1925,52,7
1926,50,7
1927,58,10
1928,46,9
1929,33,7
1930,47,11
1931,41,11
1932,42,12
1933,34,11
1934,37,13
1935,29,11
1936,34,14
1937,27,12
1938,35,17
1939,36,19
1940,30,16
1941,28,16
1942,32,19
1943,26,16
1944,25,16
1945,35,23
1946,19,13
1947,38,26
1948,18,13
1949,15,11
1950,30,23
1951,13,10
1952,23,18
1953,17,13
1954,20,16
1955,13,11
1956,16,13
1957,20,17
1958,19,16
1959,14,12
1960,12,10
1961,14,12
1962,8,7
1963,17,15
1964,13,12
1965,7,6
1966,0,0
1967,7,6
1968,8,7
1969,8,7
1970,5,5
1971,5,5
1972,0,0
1973,6,6
1974,7,7
1975,0,0
1976,0,0
1977,6,6
1978,5,5
1979,0,0
1980,6,6
1981,0,0
1982,0,0
1983,5,5
