YOB,Born,Alive
1900,50,0
1901,30,0
1902,39,0
1903,27,0
1904,19,0
1905,32,0
1906,33,0
1907,34,0
1908,29,0
1909,23,0
1910,40,0
1911,43,0
1912,86,0
1913,103,0
1914,118,0
1915,143,0
1916,192,0
1917,170,0
1918,203,0
1919,208,0
1920,190,0
1921,169,2
1922,169,3
1923,156,4
1924,169,6
1925,152,7
1926,144,8
1927,141,9
1928,145,11
1929,117,10
1930,99,9
1931,121,15
1932,116,18
1933,110,20
1934,99,21
1935,90,22
1936,78,21
1937,96,29
1938,83,28
1939,90,33
1940,66,26
1941,82,35
1942,108,49
1943,94,45
1944,82,41
1945,67,36
1946,80,45
1947,80,47
1948,85,52
1949,56,36
1950,78,52
1951,71,49
1952,58,41
1953,53,38
1954,63,46
1955,74,55
1956,54,41
1957,62,48
1958,48,38
1959,52,42
1960,51,42
1961,45,37
1962,46,38
1963,40,34
1964,44,37
1965,38,33
1966,32,28
1967,37,32
1968,31,27
1969,34,30
1970,32,29
1971,36,33
1972,38,35
1973,31,28
1974,27,25
1975,25,23
1976,25,23
1977,22,21
1978,22,21
1979,27,25
1980,19,18
1981,28,27
1982,22,21
1983,15,14
1984,24,23
1985,20,19
1986,30,29
1987,20,19
1988,20,19
1989,20,19
1990,18,17
1991,29,28
1992,25,24
1993,24,23
1994,38,37
1995,21,21
1996,20,20
1997,19,19
1998,15,15
1999,23,23
2000,18,18
2001,8,8
2002,15,15
2003,16,16
2004,14,14
2005,20,20
2006,20,20
2007,27,27
2008,21,21
2009,25,25
2010,18,18
2011,15,15
2012,15,15
2013,24,24
2014,21,21
2015,26,26
2016,17,17
2017,28,28
2018,37,37
2019,31,31
2020,27,27
