YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,5,4
1965,6,5
1966,0,0
1967,6,5
1968,7,6
1969,0,0
1970,9,8
1971,12,11
1972,10,9
1973,25,23
1974,9,8
1975,9,8
1976,19,18
1977,37,35
1978,92,86
1979,63,59
1980,71,67
1981,83,79
1982,65,62
1983,79,75
1984,64,61
1985,63,60
1986,83,80
1987,67,65
1988,65,63
1989,74,72
1990,83,80
1991,102,99
1992,88,86
1993,102,99
1994,130,127
1995,131,128
1996,120,117
1997,156,153
1998,143,140
1999,123,121
2000,150,148
2001,104,102
2002,94,93
2003,93,92
2004,73,72
2005,96,95
2006,73,72
2007,62,61
2008,65,64
2009,59,59
2010,36,36
2011,29,29
2012,32,32
2013,33,33
2014,27,27
2015,17,17
2016,35,35
2017,22,22
2018,21,21
2019,20,20
2020,25,25
