YOB,Born,Alive
1900,92,0
1901,56,0
1902,69,0
1903,48,0
1904,46,0
1905,60,0
1906,60,0
1907,61,0
1908,68,0
1909,62,0
1910,87,0
1911,82,0
1912,116,0
1913,141,0
1914,171,0
1915,189,0
1916,229,0
1917,219,0
1918,247,0
1919,253,0
1920,242,0
1921,247,3
1922,236,5
1923,259,7
1924,240,9
1925,218,10
1926,235,13
1927,236,15
1928,174,13
1929,197,16
1930,191,17
1931,180,22
1932,182,28
1933,173,31
1934,148,31
1935,175,43
1936,147,40
1937,143,44
1938,145,49
1939,122,45
1940,150,59
1941,161,68
1942,182,82
1943,155,74
1944,157,79
1945,133,71
1946,130,73
1947,156,92
1948,150,92
1949,148,95
1950,153,102
1951,154,105
1952,143,100
1953,161,115
1954,131,96
1955,133,99
1956,138,105
1957,153,118
1958,137,108
1959,153,123
1960,139,114
1961,126,104
1962,141,118
1963,124,105
1964,138,118
1965,121,104
1966,157,136
1967,155,136
1968,175,155
1969,246,219
1970,340,306
1971,478,432
1972,422,384
1973,493,451
1974,547,502
1975,581,536
1976,547,508
1977,683,637
1978,688,645
1979,914,861
1980,929,880
1981,1400,1329
1982,1814,1726
1983,1541,1470
1984,1245,1190
1985,1107,1061
1986,1037,996
1987,995,958
1988,1063,1026
1989,1244,1203
1990,1309,1269
1991,1315,1277
1992,1423,1384
1993,1503,1464
1994,2078,2027
1995,3823,3736
1996,7183,7030
1997,9278,9094
1998,13413,13166
1999,14925,14673
2000,14279,14059
2001,13487,13290
2002,12069,11902
2003,11835,11680
2004,11906,11760
2005,13896,13736
2006,16336,16161
2007,16595,16430
2008,15789,15645
2009,17254,17110
2010,16460,16336
2011,16868,16745
2012,17360,17238
2013,18266,18143
2014,19319,19194
2015,19650,19528
2016,19154,19040
2017,18453,18348
2018,18366,18267
2019,19097,18999
2020,18252,18163
