YOB,Born,Alive
1900,93,0
1901,80,0
1902,63,0
1903,83,0
1904,71,0
1905,89,0
1906,82,0
1907,104,0
1908,105,0
1909,90,0
1910,118,0
1911,156,0
1912,265,0
1913,293,0
1914,356,0
1915,479,0
1916,488,1
1917,489,1
1918,591,1
1919,556,1
1920,598,1
1921,703,8
1922,632,12
1923,587,17
1924,634,24
1925,582,27
1926,554,30
1927,552,35
1928,505,37
1929,526,43
1930,513,46
1931,456,55
1932,444,67
1933,440,80
1934,435,93
1935,411,100
1936,385,105
1937,412,126
1938,406,136
1939,383,140
1940,363,144
1941,412,175
1942,415,187
1943,418,200
1944,392,198
1945,369,197
1946,392,219
1947,405,238
1948,386,237
1949,369,237
1950,390,261
1951,376,257
1952,455,318
1953,414,296
1954,403,294
1955,347,258
1956,399,303
1957,406,314
1958,370,292
1959,386,311
1960,386,316
1961,354,293
1962,348,291
1963,279,235
1964,294,250
1965,273,235
1966,264,229
1967,229,201
1968,215,190
1969,274,244
1970,238,214
1971,248,224
1972,317,288
1973,337,308
1974,338,310
1975,297,274
1976,278,258
1977,323,301
1978,273,256
1979,371,350
1980,352,333
1981,381,362
1982,377,359
1983,357,340
1984,399,381
1985,413,396
1986,406,390
1987,462,445
1988,467,451
1989,436,422
1990,480,465
1991,456,443
1992,454,442
1993,458,446
1994,489,477
1995,700,684
1996,1005,984
1997,1366,1339
1998,1872,1838
1999,2377,2337
2000,2714,2672
2001,3031,2987
2002,4190,4132
2003,5700,5626
2004,6705,6623
2005,7168,7086
2006,8172,8085
2007,8246,8164
2008,7797,7726
2009,8142,8074
2010,8176,8114
2011,8335,8274
2012,8692,8631
2013,8763,8704
2014,9152,9093
2015,9605,9545
2016,10298,10237
2017,9352,9299
2018,9320,9270
2019,9323,9275
2020,8623,8581
