YOB,Born,Alive
1900,50,0
1901,32,0
1902,35,0
1903,33,0
1904,35,0
1905,35,0
1906,35,0
1907,33,0
1908,36,0
1909,42,0
1910,58,0
1911,49,0
1912,75,0
1913,90,0
1914,128,0
1915,166,1
1916,177,1
1917,185,1
1918,215,1
1919,180,1
1920,204,2
1921,223,5
1922,229,9
1923,227,12
1924,241,16
1925,294,24
1926,297,29
1927,287,32
1928,361,46
1929,364,51
1930,372,58
1931,406,76
1932,450,99
1933,379,95
1934,473,134
1935,457,144
1936,421,146
1937,483,183
1938,420,173
1939,446,198
1940,482,229
1941,530,265
1942,534,280
1943,519,284
1944,495,283
1945,492,293
1946,623,387
1947,720,465
1948,596,399
1949,496,344
1950,384,276
1951,315,230
1952,328,244
1953,306,231
1954,310,238
1955,329,257
1956,419,332
1957,633,510
1958,849,694
1959,949,788
1960,1000,842
1961,929,789
1962,830,711
1963,737,636
1964,748,651
1965,519,455
1966,411,363
1967,354,315
1968,290,260
1969,227,205
1970,192,175
1971,139,127
1972,94,86
1973,87,80
1974,53,49
1975,61,57
1976,50,47
1977,41,39
1978,38,36
1979,32,30
1980,26,25
1981,32,31
1982,26,25
1983,24,23
1984,21,20
1985,21,20
1986,19,18
1987,20,19
1988,21,20
1989,18,17
1990,20,19
1991,25,24
1992,21,20
1993,8,8
1994,9,9
1995,14,14
1996,0,0
1997,6,6
1998,7,7
1999,0,0
2000,6,6
2001,0,0
2002,5,5
2003,5,5
2004,0,0
2005,6,6
2006,11,11
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,5,5
2014,5,5
2015,0,0
2016,0,0
2017,0,0
