YOB,Born,Alive
1900,22,0
1901,29,0
1902,21,0
1903,23,0
1904,29,0
1905,24,0
1906,20,0
1907,17,0
1908,25,0
1909,30,0
1910,38,0
1911,31,0
1912,49,0
1913,50,0
1914,69,1
1915,80,1
1916,85,1
1917,86,1
1918,90,2
1919,80,2
1920,80,2
1921,82,4
1922,97,6
1923,66,6
1924,96,10
1925,75,10
1926,73,11
1927,69,12
1928,70,13
1929,64,14
1930,63,15
1931,50,13
1932,63,19
1933,50,16
1934,49,18
1935,59,23
1936,55,23
1937,62,28
1938,66,32
1939,56,29
1940,60,33
1941,51,29
1942,45,26
1943,61,37
1944,54,34
1945,52,34
1946,64,43
1947,67,47
1948,58,42
1949,77,57
1950,52,39
1951,64,49
1952,58,45
1953,71,56
1954,73,58
1955,75,61
1956,74,61
1957,82,68
1958,55,46
1959,63,54
1960,61,52
1961,54,47
1962,66,58
1963,63,55
1964,70,62
1965,48,43
1966,46,41
1967,45,41
1968,55,50
1969,44,40
1970,51,47
1971,52,48
1972,49,45
1973,63,59
1974,59,55
1975,39,37
1976,65,61
1977,59,56
1978,73,69
1979,92,88
1980,131,125
1981,146,140
1982,137,132
1983,167,161
1984,206,199
1985,195,188
1986,150,145
1987,122,118
1988,138,134
1989,134,131
1990,126,123
1991,135,132
1992,129,126
1993,118,116
1994,95,93
1995,105,103
1996,96,94
1997,123,121
1998,172,170
1999,152,150
2000,176,174
2001,164,162
2002,161,159
2003,202,200
2004,227,225
2005,231,229
2006,247,245
2007,272,270
2008,301,299
2009,351,348
2010,496,493
2011,547,543
2012,590,586
2013,628,624
