YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,8,7
1972,6,5
1973,9,8
1974,13,12
1975,15,14
1976,10,9
1977,11,10
1978,10,9
1979,13,12
1980,15,14
1981,6,6
1982,10,10
1983,14,13
1984,16,15
1985,10,10
1986,16,15
1987,19,18
1988,14,14
1989,11,11
1990,16,16
1991,21,20
1992,13,13
1993,29,28
1994,16,16
1995,33,32
1996,22,22
1997,27,26
1998,27,27
1999,19,19
2000,23,23
2001,21,21
2002,32,32
2003,24,24
2004,18,18
2005,13,13
2006,19,19
2007,24,24
2008,19,19
2009,19,19
2010,8,8
2011,17,17
2012,9,9
2013,10,10
2014,5,5
2015,7,7
2016,13,13
2017,12,12
2018,10,10
2019,13,13
2020,5,5
