YOB,Born,Alive
1900,0,0
1901,0,0
1902,5,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,6,0
1911,7,0
1912,8,0
1913,0,0
1914,6,0
1915,18,0
1916,5,0
1917,9,0
1918,13,0
1919,10,0
1920,16,0
1921,12,1
1922,18,1
1923,7,1
1924,12,1
1925,12,2
1926,12,2
1927,8,1
1928,14,3
1929,9,2
1930,10,2
1931,8,2
1932,9,3
1933,12,4
1934,11,4
1935,9,4
1936,10,4
1937,13,6
1938,8,4
1939,8,4
1940,14,8
1941,8,5
1942,6,4
1943,5,3
1944,0,0
1945,9,6
1946,0,0
1947,6,4
1948,0,0
1949,7,5
1950,12,9
1951,7,5
1952,5,4
1953,5,4
1954,5,4
1955,9,7
1956,11,9
1957,7,6
1958,0,0
1959,9,8
1960,6,5
1961,0,0
1962,6,5
1963,5,4
1964,0,0
1965,6,5
1966,0,0
1967,6,5
1968,0,0
1969,9,8
1970,8,7
1971,7,6
1972,8,7
1973,9,8
1974,6,6
1975,12,11
1976,13,12
1977,15,14
1978,10,10
1979,0,0
1980,16,15
1981,8,8
1982,6,6
1983,11,11
1984,6,6
1985,13,13
1986,13,13
1987,7,7
1988,0,0
1989,13,13
1990,5,5
1991,5,5
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,5,5
1998,0,0
1999,0,0
2000,0,0
2001,6,6
2002,7,7
2003,5,5
2004,5,5
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,10,10
2011,11,11
2012,10,10
2013,5,5
