YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,5,0
1915,0,0
1916,5,0
1917,0,0
1918,0,0
1919,5,0
1920,6,0
1921,8,0
1922,8,0
1923,9,0
1924,8,0
1925,7,0
1926,9,0
1927,10,1
1928,9,1
1929,17,1
1930,11,1
1931,16,2
1932,19,3
1933,16,3
1934,22,5
1935,18,4
1936,29,8
1937,22,7
1938,15,5
1939,32,12
1940,22,9
1941,26,11
1942,41,18
1943,46,22
1944,39,20
1945,52,28
1946,78,44
1947,64,38
1948,68,42
1949,49,31
1950,60,40
1951,41,28
1952,43,30
1953,48,34
1954,40,29
1955,47,35
1956,38,29
1957,41,32
1958,40,32
1959,85,68
1960,86,70
1961,85,70
1962,55,46
1963,44,37
1964,64,55
1965,67,58
1966,49,43
1967,46,40
1968,40,35
1969,30,27
1970,52,47
1971,27,24
1972,29,26
1973,31,28
1974,29,27
1975,22,20
1976,25,23
1977,24,22
1978,17,16
1979,20,19
1980,21,20
1981,17,16
1982,15,14
1983,18,17
1984,16,15
1985,13,12
1986,17,16
1987,11,11
1988,14,14
1989,14,14
1990,18,17
1991,6,6
1992,14,14
1993,7,7
1994,9,9
1995,18,18
1996,11,11
1997,12,12
1998,8,8
1999,5,5
2000,0,0
2001,0,0
2002,11,11
2003,6,6
2004,10,10
2005,5,5
2006,6,6
2007,6,6
2008,12,12
2009,7,7
2010,10,10
2011,6,6
2012,10,10
2013,8,8
2014,10,10
2015,7,7
2016,0,0
2017,8,8
2018,0,0
2019,7,7
2020,7,7
