YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,5,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,5,0
1909,0,0
1910,0,0
1911,10,0
1912,8,0
1913,6,0
1914,13,0
1915,10,0
1916,10,0
1917,16,0
1918,10,0
1919,17,0
1920,22,0
1921,11,0
1922,24,0
1923,21,1
1924,23,1
1925,18,1
1926,27,1
1927,39,2
1928,64,5
1929,101,8
1930,141,13
1931,192,23
1932,431,65
1933,513,93
1934,759,161
1935,864,210
1936,1057,290
1937,1285,391
1938,1642,551
1939,1825,668
1940,2054,815
1941,2848,1207
1942,3362,1516
1943,3828,1831
1944,3739,1890
1945,3650,1944
1946,5725,3205
1947,6109,3586
1948,5900,3624
1949,5238,3360
1950,4617,3087
1951,4533,3100
1952,4634,3239
1953,4971,3549
1954,4979,3630
1955,4969,3698
1956,5498,4175
1957,5770,4468
1958,5851,4620
1959,5473,4404
1960,4875,3996
1961,4615,3820
1962,4113,3437
1963,3821,3224
1964,3516,2995
1965,3145,2704
1966,2910,2525
1967,2707,2371
1968,2598,2296
1969,2414,2153
1970,2516,2264
1971,2304,2084
1972,2003,1821
1973,1894,1731
1974,1788,1642
1975,1631,1506
1976,1596,1481
1977,1546,1442
1978,1476,1384
1979,1520,1432
1980,1411,1336
1981,1370,1300
1982,1273,1211
1983,1189,1134
1984,1104,1055
1985,1127,1080
1986,1064,1022
1987,1039,1000
1988,1013,978
1989,973,941
1990,1027,996
1991,909,883
1992,861,837
1993,758,738
1994,667,651
1995,668,653
1996,601,588
1997,549,538
1998,524,514
1999,486,478
2000,488,480
2001,460,453
2002,401,395
2003,419,414
2004,438,433
2005,412,407
2006,443,438
2007,383,379
2008,401,397
2009,367,364
2010,355,352
2011,320,318
2012,330,328
2013,314,312
2014,313,311
2015,308,306
2016,259,257
2017,240,239
2018,247,246
2019,242,241
2020,185,184
