YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,6,0
1911,0,0
1912,0,0
1913,11,0
1914,12,0
1915,11,0
1916,13,0
1917,8,0
1918,13,0
1919,14,0
1920,14,0
1921,17,0
1922,23,1
1923,12,1
1924,14,1
1925,21,2
1926,20,2
1927,16,2
1928,23,3
1929,20,3
1930,14,2
1931,15,3
1932,13,3
1933,23,6
1934,16,5
1935,22,7
1936,13,5
1937,11,4
1938,23,9
1939,8,4
1940,16,8
1941,6,3
1942,15,8
1943,15,8
1944,19,11
1945,17,10
1946,16,10
1947,11,7
1948,17,11
1949,17,12
1950,18,13
1951,12,9
1952,11,8
1953,26,20
1954,18,14
1955,16,12
1956,14,11
1957,9,7
1958,9,7
1959,16,13
1960,20,17
1961,14,12
1962,11,9
1963,9,8
1964,10,9
1965,19,17
1966,8,7
1967,5,4
1968,11,10
1969,12,11
1970,17,15
1971,25,23
1972,21,19
1973,16,15
1974,20,19
1975,15,14
1976,22,21
1977,13,12
1978,23,22
1979,19,18
1980,15,14
1981,10,10
1982,27,26
1983,19,18
1984,22,21
1985,14,13
1986,22,21
1987,25,24
1988,19,18
1989,17,17
1990,26,25
1991,24,23
1992,29,28
1993,23,22
1994,26,25
1995,29,28
1996,24,24
1997,20,20
1998,18,18
1999,23,23
2000,19,19
2001,30,30
2002,23,23
2003,17,17
2004,23,23
2005,16,16
2006,30,30
2007,22,22
2008,13,13
2009,19,19
2010,16,16
2011,16,16
2012,12,12
2013,12,12
2014,15,15
2015,14,14
2016,11,11
2017,13,13
