YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,5,0
1916,7,0
1917,0,0
1918,7,0
1919,6,0
1920,8,0
1921,8,0
1922,13,1
1923,13,1
1924,8,1
1925,10,1
1926,9,1
1927,9,2
1928,14,3
1929,10,2
1930,13,3
1931,17,5
1932,20,6
1933,25,8
1934,24,9
1935,33,13
1936,38,16
1937,37,17
1938,43,21
1939,45,23
1940,58,32
1941,80,45
1942,49,29
1943,49,30
1944,56,35
1945,60,39
1946,83,56
1947,88,61
1948,77,55
1949,90,66
1950,120,91
1951,123,95
1952,120,94
1953,140,111
1954,140,112
1955,164,133
1956,177,145
1957,180,149
1958,239,201
1959,227,193
1960,284,244
1961,306,265
1962,379,331
1963,372,327
1964,420,372
1965,432,385
1966,525,471
1967,571,516
1968,585,532
1969,607,556
1970,574,529
1971,1118,1034
1972,758,704
1973,695,648
1974,605,566
1975,563,529
1976,447,422
1977,416,394
1978,386,367
1979,516,492
1980,444,425
1981,420,403
1982,415,399
1983,312,300
1984,274,264
1985,285,275
1986,260,252
1987,227,220
1988,211,205
1989,184,179
1990,197,192
1991,151,148
1992,184,180
1993,171,168
1994,123,121
1995,117,115
1996,92,91
1997,67,66
1998,86,85
1999,77,76
2000,76,75
2001,65,64
2002,65,64
2003,61,60
2004,57,56
2005,54,54
2006,57,57
2007,54,54
2008,62,62
2009,59,59
2010,39,39
2011,50,50
2012,52,52
2013,34,34
