YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,8,7
1972,5,5
1973,5,5
1974,9,8
1975,18,17
1976,14,13
1977,20,19
1978,18,17
1979,26,24
1980,22,21
1981,18,17
1982,19,18
1983,18,17
1984,15,14
1985,9,9
1986,20,19
1987,19,18
1988,12,12
1989,29,28
1990,19,18
1991,20,19
1992,39,38
1993,68,66
1994,41,40
1995,52,51
1996,32,31
1997,30,29
1998,29,28
1999,28,28
2000,28,28
2001,30,30
2002,30,30
2003,36,36
2004,21,21
2005,18,18
2006,30,30
2007,27,27
2008,30,30
2009,29,29
2010,21,21
2011,18,18
2012,13,13
2013,10,10
2014,18,18
2015,16,16
2016,17,17
2017,26,26
2018,19,19
2019,10,10
2020,15,15
