YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,6,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,8,0
1919,8,0
1920,11,0
1921,7,0
1922,8,0
1923,12,1
1924,13,1
1925,10,1
1926,10,1
1927,16,2
1928,9,1
1929,7,1
1930,8,1
1931,11,2
1932,6,1
1933,9,2
1934,9,3
1935,5,2
1936,14,5
1937,9,3
1938,7,3
1939,0,0
1940,0,0
1941,8,4
1942,7,4
1943,11,6
1944,7,4
1945,11,7
1946,13,8
1947,17,11
1948,5,3
1949,12,8
1950,9,6
1951,10,7
1952,0,0
1953,9,7
1954,0,0
1955,9,7
1956,9,7
1957,11,9
1958,6,5
1959,10,8
1960,10,8
1961,9,8
1962,6,5
1963,12,10
1964,5,4
1965,8,7
1966,8,7
1967,7,6
1968,8,7
1969,8,7
1970,8,7
1971,17,16
1972,9,8
1973,5,5
1974,5,5
1975,11,10
1976,10,9
1977,6,6
1978,6,6
1979,6,6
1980,7,7
1981,6,6
1982,11,11
1983,6,6
1984,5,5
1985,6,6
1986,9,9
1987,9,9
1988,9,9
1989,6,6
1990,11,11
1991,12,12
1992,6,6
1993,10,10
1994,9,9
1995,8,8
1996,10,10
1997,10,10
1998,9,9
1999,9,9
2000,9,9
2001,8,8
2002,8,8
2003,8,8
2004,0,0
2005,9,9
2006,0,0
2007,5,5
2008,7,7
2009,6,6
2010,0,0
2011,6,6
2012,0,0
2013,5,5
2014,0,0
2015,0,0
2016,6,6
2017,5,5
