YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,7,0
1911,5,0
1912,7,0
1913,9,0
1914,8,0
1915,12,0
1916,13,0
1917,20,0
1918,22,0
1919,12,0
1920,20,0
1921,10,0
1922,8,1
1923,9,1
1924,12,1
1925,8,1
1926,14,2
1927,8,1
1928,6,1
1929,8,2
1930,0,0
1931,7,2
1932,0,0
1933,7,2
1934,6,2
1935,9,4
1936,12,5
1937,6,3
1938,15,7
1939,16,8
1940,7,4
1941,9,5
1942,22,13
1943,18,11
1944,28,18
1945,21,14
1946,23,15
1947,41,28
1948,41,29
1949,52,38
1950,53,40
1951,59,45
1952,61,48
1953,59,47
1954,62,50
1955,57,46
1956,88,72
1957,63,52
1958,56,47
1959,92,78
1960,133,114
1961,154,133
1962,176,154
1963,185,163
1964,138,122
1965,154,137
1966,140,126
1967,176,159
1968,164,149
1969,218,200
1970,322,297
1971,256,237
1972,256,238
1973,251,234
1974,220,206
1975,219,206
1976,208,196
1977,227,215
1978,219,208
1979,204,195
1980,234,224
1981,228,219
1982,254,244
1983,255,246
1984,338,326
1985,422,408
1986,490,475
1987,514,499
1988,606,589
1989,668,651
1990,638,623
1991,719,703
1992,613,600
1993,600,588
1994,587,576
1995,529,520
1996,455,448
1997,503,496
1998,390,385
1999,362,358
2000,360,356
2001,304,301
2002,282,279
2003,273,270
2004,227,225
2005,241,239
2006,223,221
2007,212,210
2008,193,192
2009,202,201
2010,240,238
2011,236,234
2012,216,215
2013,254,253
