YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,10,0
1923,0,0
1924,5,0
1925,0,0
1926,6,1
1927,5,1
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,11,4
1938,18,7
1939,20,9
1940,22,10
1941,31,15
1942,16,8
1943,19,10
1944,19,11
1945,13,8
1946,15,9
1947,20,13
1948,20,13
1949,18,12
1950,22,16
1951,24,18
1952,11,8
1953,18,14
1954,17,13
1955,22,17
1956,17,13
1957,30,24
1958,25,20
1959,32,27
1960,27,23
1961,15,13
1962,54,46
1963,259,224
1964,109,95
1965,98,86
1966,76,67
1967,57,51
1968,62,56
1969,58,52
1970,62,56
1971,76,70
1972,63,58
1973,55,51
1974,54,50
1975,52,48
1976,58,54
1977,61,57
1978,39,37
1979,39,37
1980,48,46
1981,46,44
1982,36,34
1983,31,30
1984,31,30
1985,30,29
1986,44,42
1987,33,32
1988,27,26
1989,33,32
1990,37,36
1991,38,37
1992,35,34
1993,31,30
1994,34,33
1995,31,30
1996,24,24
1997,22,22
1998,35,34
1999,26,26
2000,18,18
2001,30,30
2002,23,23
2003,19,19
2004,9,9
2005,23,23
2006,21,21
2007,14,14
2008,18,18
2009,22,22
2010,18,18
2011,13,13
2012,21,21
2013,18,18
2014,15,15
2015,10,10
2016,15,15
2017,12,12
