YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,7,0
1911,0,0
1912,10,0
1913,12,0
1914,12,0
1915,9,0
1916,18,0
1917,14,0
1918,17,0
1919,14,0
1920,15,0
1921,18,0
1922,14,0
1923,19,1
1924,11,0
1925,10,0
1926,8,0
1927,12,1
1928,10,1
1929,8,1
1930,15,1
1931,7,1
1932,12,2
1933,9,2
1934,12,3
1935,14,3
1936,9,2
1937,12,4
1938,8,3
1939,15,5
1940,10,4
1941,8,3
1942,10,5
1943,10,5
1944,7,4
1945,9,5
1946,14,8
1947,10,6
1948,7,4
1949,8,5
1950,8,5
1951,11,8
1952,7,5
1953,13,9
1954,14,10
1955,5,4
1956,11,8
1957,5,4
1958,6,5
1959,6,5
1960,0,0
1961,0,0
1962,10,8
1963,5,4
1964,26,22
1965,22,19
1966,10,9
1967,14,12
1968,6,5
1969,5,4
1970,7,6
1971,16,14
1972,7,6
1973,0,0
1974,0,0
1975,7,6
1976,9,8
1977,0,0
1978,0,0
1979,9,8
1980,0,0
1981,0,0
1982,0,0
1983,7,7
1984,5,5
1985,7,7
1986,0,0
1987,6,6
1988,8,8
1989,5,5
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,6,6
1996,0,0
1997,5,5
1998,5,5
1999,0,0
2000,5,5
2001,0,0
2002,0,0
2003,0,0
2004,9,9
2005,5,5
2006,0,0
2007,6,6
2008,5,5
2009,5,5
2010,7,7
2011,0,0
2012,0,0
2013,5,5
2014,0,0
2015,5,5
2016,5,5
2017,0,0
2018,6,6
2019,7,7
2020,0,0
