YOB,Born,Alive
1900,2557,0
1901,1820,0
1902,2134,0
1903,1962,0
1904,2057,0
1905,2135,0
1906,2176,0
1907,2175,0
1908,2301,0
1909,2468,0
1910,2851,0
1911,3293,8
1912,6085,28
1913,7096,49
1914,8851,82
1915,11490,132
1916,11997,165
1917,12612,202
1918,13912,254
1919,13435,276
1920,14937,341
1921,15311,674
1922,15264,994
1923,15889,1371
1924,16551,1779
1925,16690,2147
1926,16606,2488
1927,17011,2908
1928,16579,3185
1929,16267,3469
1930,17009,3988
1931,16835,4470
1932,16828,4990
1933,16498,5405
1934,17368,6229
1935,17673,6888
1936,18336,7715
1937,19771,8933
1938,21375,10322
1939,22122,11369
1940,23987,13073
1941,26640,15089
1942,31101,18281
1943,32862,20020
1944,31594,19923
1945,31875,20783
1946,38865,26172
1947,44840,31155
1948,43807,31375
1949,45151,33303
1950,45615,34622
1951,48226,37093
1952,48594,37870
1953,46954,37068
1954,47136,37691
1955,45799,37086
1956,44805,36736
1957,44582,37006
1958,42059,35339
1959,40287,34259
1960,39303,33821
1961,37538,32531
1962,36533,31882
1963,35512,31207
1964,34462,30493
1965,31643,28191
1966,29012,26024
1967,28285,25544
1968,27455,24961
1969,27484,25154
1970,26692,24592
1971,23162,21423
1972,19569,18171
1973,17943,16726
1974,17287,16177
1975,16558,15554
1976,16126,15207
1977,16600,15714
1978,16486,15665
1979,16474,15713
1980,17565,16817
1981,17159,16460
1982,17574,16890
1983,17555,16904
1984,17588,16968
1985,17589,17001
1986,17343,16795
1987,18118,17579
1988,18790,18265
1989,18432,17951
1990,18213,17771
1991,16781,16396
1992,15283,14954
1993,14858,14558
1994,14902,14622
1995,14158,13911
1996,13796,13574
1997,12890,12700
1998,12883,12711
1999,12790,12637
2000,12638,12504
2001,12147,12023
2002,11289,11178
2003,10930,10826
2004,10495,10399
2005,10030,9942
2006,9503,9423
2007,8920,8849
2008,8349,8285
2009,7711,7655
2010,7107,7058
2011,6887,6842
2012,6813,6771
2013,6708,6669
