YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,6,6
1976,0,0
1977,8,8
1978,6,6
1979,8,8
1980,0,0
1981,21,20
1982,42,40
1983,45,43
1984,47,45
1985,77,74
1986,53,51
1987,62,60
1988,42,41
1989,64,62
1990,56,55
1991,53,52
1992,63,62
1993,49,48
1994,73,72
1995,618,607
1996,1188,1169
1997,1078,1062
1998,1041,1027
1999,804,794
2000,864,855
2001,886,877
2002,902,893
2003,850,842
2004,911,903
2005,869,861
2006,937,929
2007,941,933
2008,972,965
2009,1060,1052
2010,938,932
2011,848,842
2012,840,835
2013,620,616
