YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,6,5
1964,0,0
1965,0,0
1966,6,5
1967,5,4
1968,7,6
1969,0,0
1970,8,7
1971,6,5
1972,12,11
1973,8,7
1974,7,6
1975,6,6
1976,6,6
1977,6,6
1978,6,6
1979,5,5
1980,13,12
1981,9,9
1982,9,9
1983,9,9
1984,7,7
1985,11,11
1986,0,0
1987,7,7
1988,8,8
1989,17,17
1990,13,13
1991,13,13
1992,19,19
1993,10,10
1994,13,13
1995,16,16
1996,14,14
1997,24,24
1998,16,16
1999,26,26
2000,21,21
2001,17,17
2002,18,18
2003,17,17
2004,16,16
2005,17,17
2006,16,16
2007,28,28
2008,13,13
2009,21,21
2010,10,10
2011,8,8
2012,18,18
2013,6,6
2014,7,7
2015,13,13
2016,7,7
2017,10,10
