YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,5,0
1917,0,0
1918,5,0
1919,0,0
1920,0,0
1921,6,0
1922,0,0
1923,11,1
1924,13,1
1925,9,1
1926,7,1
1927,6,1
1928,8,1
1929,7,1
1930,11,2
1931,11,2
1932,5,1
1933,6,2
1934,5,1
1935,14,4
1936,0,0
1937,8,3
1938,8,3
1939,0,0
1940,5,2
1941,7,3
1942,6,3
1943,10,5
1944,6,3
1945,8,5
1946,7,4
1947,10,6
1948,8,5
1949,7,5
1950,8,6
1951,9,7
1952,14,10
1953,11,8
1954,5,4
1955,10,8
1956,5,4
1957,0,0
1958,6,5
1959,0,0
1960,9,8
1961,10,8
1962,7,6
1963,6,5
1964,10,9
1965,16,14
1966,7,6
1967,6,5
1968,9,8
1969,0,0
1970,9,8
1971,13,12
1972,12,11
1973,14,13
1974,17,16
1975,13,12
1976,15,14
1977,15,14
1978,21,20
1979,26,25
1980,17,16
1981,13,12
1982,18,17
1983,21,20
1984,17,16
1985,21,20
1986,14,14
1987,26,25
1988,23,22
1989,19,18
1990,37,36
1991,29,28
1992,30,29
1993,43,42
1994,33,32
1995,30,29
1996,39,38
1997,36,35
1998,34,33
1999,30,30
2000,38,38
2001,33,33
2002,35,35
2003,32,32
2004,36,36
2005,34,34
2006,56,55
2007,58,57
2008,48,48
2009,46,46
2010,39,39
2011,32,32
2012,25,25
2013,21,21
2014,30,30
2015,28,28
2016,32,32
2017,28,28
