YOB,Born,Alive
1900,19,0
1901,16,0
1902,13,0
1903,18,0
1904,11,0
1905,12,0
1906,13,0
1907,15,0
1908,13,0
1909,13,0
1910,27,0
1911,27,0
1912,29,0
1913,43,0
1914,42,0
1915,65,0
1916,62,0
1917,53,0
1918,71,0
1919,69,0
1920,73,1
1921,77,2
1922,68,3
1923,48,3
1924,81,5
1925,48,4
1926,61,6
1927,52,6
1928,50,6
1929,39,6
1930,67,10
1931,44,8
1932,55,12
1933,55,14
1934,39,11
1935,37,12
1936,28,10
1937,40,15
1938,31,13
1939,33,15
1940,34,16
1941,29,14
1942,24,13
1943,39,21
1944,34,19
1945,37,22
1946,45,28
1947,42,27
1948,24,16
1949,29,20
1950,40,29
1951,34,25
1952,26,19
1953,21,16
1954,34,26
1955,29,23
1956,26,21
1957,34,27
1958,25,20
1959,23,19
1960,30,25
1961,25,21
1962,18,15
1963,21,18
1964,16,14
1965,17,15
1966,19,17
1967,17,15
1968,8,7
1969,12,11
1970,17,15
1971,15,14
1972,8,7
1973,0,0
1974,14,13
1975,8,7
1976,5,5
1977,0,0
1978,5,5
1979,9,9
1980,9,9
1981,6,6
1982,7,7
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,6,6
1990,5,5
1991,5,5
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
